compliance_id,propertyid,compliance_type,last_inspection_date,next_due_date,days_until_due,status,risk_level,responsible_person,regulatory_body,certificate_reference,notes,remedial_actions_required,property_type,is_higher_risk,property_age_years,blockid,estateid,patchid
513,51,Legionella Risk Assessment,2023-10-14,2025-10-03,158,Compliant,Low,Josephine Wilkinson,Local Authority Building Control,LEG-Uz383pG-2023,No issues found.,,Flat,False,32.0,3.0,1.0,
514,51,Lift Inspection,2024-11-10,2025-05-09,11,Due Soon,Low,Mr Ian Thomas,Building Safety Regulator,LIF-ed625eN-2024,Reminder sent to property manager.,Notify tenants of upcoming mandatory access requirements.,Flat,False,32.0,3.0,1.0,
515,51,Emergency Lighting Test,2025-02-28,2026-02-23,301,Compliant,Low,Mr Howard Mason,Building Safety Regulator,EME-FL071kd-2025,,,Flat,False,32.0,3.0,1.0,
516,51,Fire Alarm System Test,2024-11-15,2025-05-14,16,Due Soon,Low,Jean Davies-Hill,Local Authority Building Control,FIR-jQ964uo-2024,Follow-up required before expiry.,,Flat,False,32.0,3.0,1.0,
517,51,Fire Extinguisher Inspection,2024-09-02,2025-08-28,122,Compliant,Low,Dr Anthony Rogers,Fire and Rescue Authority,FIR-Fl990pX-2024,,,Flat,False,32.0,3.0,1.0,
518,51,Smoke/Heat Detector Test,2025-03-10,2026-03-05,311,Compliant,Medium,Victor Fox,Housing Ombudsman,SMO-GT403LM-2025,,,Flat,False,32.0,3.0,1.0,
519,51,Water Risk Assessment,2025-02-25,2027-02-15,658,Compliant,Low,Stephanie Atkinson,Housing Ombudsman,WAT-Uc961RF-2025,,,Flat,False,32.0,3.0,1.0,
520,52,Fire Risk Assessment,2024-08-28,2025-08-23,117,Compliant,High,Scott Lee,Local Authority Building Control,FIR-XS320eF-2024,,,Flat,False,32.0,15.0,9.0,6.0
521,52,Gas Safety Certificate,2025-04-11,2026-04-06,343,Compliant,Critical,Mr Patrick Morris,Housing Ombudsman,GAS-zc808am-2025,,,Flat,False,32.0,15.0,9.0,6.0
522,52,Electrical Installation Condition Report,2024-08-25,2029-07-30,1554,Compliant,Medium,Dr Robin McCarthy,Building Safety Regulator,ELE-HC414bB-2024,All systems functioning correctly.,,Flat,False,32.0,15.0,9.0,6.0
523,52,Asbestos Survey,2025-02-23,2027-02-13,656,Compliant,High,Mrs Christine Roberts,Regulator of Social Housing,ASB-MU400iQ-2025,,,Flat,False,32.0,15.0,9.0,6.0
524,52,Legionella Risk Assessment,2023-08-28,2025-08-17,111,Compliant,Medium,Philip Hicks,Regulator of Social Housing,LEG-Qi858GB-2023,,,Flat,False,32.0,15.0,9.0,6.0
525,52,Lift Inspection,2025-01-17,2025-07-16,79,Compliant,Low,Leonard Clarke-Jones,Fire and Rescue Authority,LIF-CO379ES-2025,,,Flat,False,32.0,15.0,9.0,6.0
526,52,Emergency Lighting Test,2024-05-05,2025-04-30,2,Due Soon,Low,Mrs Judith Hughes,Housing Ombudsman,EME-FI474TI-2024,,Contact approved contractor for assessment.,Flat,False,32.0,15.0,9.0,6.0
527,52,Fire Alarm System Test,2025-04-03,2025-09-30,155,Compliant,Medium,Anthony Gordon-Smith,Housing Ombudsman,FIR-IN202BL-2025,,,Flat,False,32.0,15.0,9.0,6.0
528,52,Fire Extinguisher Inspection,2024-11-03,2025-10-29,184,Compliant,High,Miss Katy Smith,Fire and Rescue Authority,FIR-Ld438UT-2024,,,Flat,False,32.0,15.0,9.0,6.0
529,52,Smoke/Heat Detector Test,2025-04-09,2026-04-04,341,Compliant,Medium,Dr Kevin Hussain,Housing Ombudsman,SMO-EB962gj-2025,,,Flat,False,32.0,15.0,9.0,6.0
530,52,Water Risk Assessment,2024-05-24,2026-05-14,381,Compliant,Low,Mr Stuart Murphy,Health and Safety Executive,WAT-Ek625Eh-2024,,,Flat,False,32.0,15.0,9.0,6.0
531,53,Fire Risk Assessment,2025-04-18,2026-04-13,350,Compliant,High,Jayne Warren,Fire and Rescue Authority,FIR-Qv259Ry-2025,,,Flat,False,35.0,9.0,5.0,3.0
532,53,Gas Safety Certificate,2024-05-13,2025-05-08,10,Overdue,High,Benjamin Williams,Local Authority Building Control,GAS-Vk021JP-2024,Follow-up email sent to responsible person.,Allocate budget for necessary repairs before certification.,Flat,False,35.0,9.0,5.0,3.0
533,53,Electrical Installation Condition Report,2021-03-28,2026-03-02,308,Compliant,Low,Lauren Lewis,Regulator of Social Housing,ELE-YI000OG-2021,Minor recommendations noted for future reference.,,Flat,False,35.0,9.0,5.0,3.0
534,53,Asbestos Survey,2024-08-23,2026-08-13,472,Compliant,High,Gregory White,Fire and Rescue Authority,ASB-ie102gY-2024,,,Flat,False,35.0,9.0,5.0,3.0
535,53,Legionella Risk Assessment,2024-06-14,2026-06-04,402,Compliant,Low,Mr Dale Jones,Building Safety Regulator,LEG-HZ138tT-2024,Fully compliant with current regulations.,,Flat,False,35.0,9.0,5.0,3.0
536,53,Lift Inspection,2025-03-10,2025-09-06,131,Compliant,Low,Stanley Clark,Local Authority Building Control,LIF-ez961yN-2025,,,Flat,False,35.0,9.0,5.0,3.0
537,53,Emergency Lighting Test,2024-10-26,2025-10-21,176,Compliant,Medium,Miss Tina Lewis,Fire and Rescue Authority,EME-FF987pY-2024,,,Flat,False,35.0,9.0,5.0,3.0
538,53,Fire Alarm System Test,2025-03-28,2025-09-24,149,Compliant,Low,Mr Hugh Jones,Local Authority Building Control,FIR-vg690qR-2025,,,Flat,False,35.0,9.0,5.0,3.0
539,53,Fire Extinguisher Inspection,2024-08-29,2025-08-24,118,Compliant,Low,Mrs Laura Carter,Fire and Rescue Authority,FIR-aR335Ic-2024,,,Flat,False,35.0,9.0,5.0,3.0
540,53,Smoke/Heat Detector Test,2024-05-11,2025-05-06,8,Compliant,Low,Chelsea Martin,Health and Safety Executive,SMO-vq946Ac-2024,Fully compliant with current regulations.,,Flat,False,35.0,9.0,5.0,3.0
541,53,Water Risk Assessment,2024-09-14,2026-09-04,494,Compliant,Low,Rosie Rowley,Regulator of Social Housing,WAT-cf888ry-2024,,,Flat,False,35.0,9.0,5.0,3.0
542,54,Fire Risk Assessment,2024-05-14,2025-05-09,11,Overdue,Medium,Susan Griffiths,Regulator of Social Housing,FIR-Zn567dX-2024,Multiple attempts to schedule inspection.,Contact approved contractor for assessment.,Flat,False,34.0,16.0,9.0,4.0
543,54,Gas Safety Certificate,2024-11-23,2025-11-18,204,Compliant,High,Dale Jones-Davies,Regulator of Social Housing,GAS-gS626bI-2024,,,Flat,False,34.0,16.0,9.0,4.0
544,54,Electrical Installation Condition Report,2023-05-15,2028-04-18,1086,Compliant,Low,Megan Kennedy,Local Authority Building Control,ELE-oW934Uh-2023,,,Flat,False,34.0,16.0,9.0,4.0
545,54,Asbestos Survey,2024-10-07,2026-09-27,517,Compliant,High,Melanie Atkinson,Health and Safety Executive,ASB-QP883oQ-2024,,,Flat,False,34.0,16.0,9.0,4.0
546,54,Legionella Risk Assessment,2024-10-19,2026-10-09,529,Compliant,High,Stanley Gray,Housing Ombudsman,LEG-FD875no-2024,,,Flat,False,34.0,16.0,9.0,4.0
547,54,Lift Inspection,2025-04-12,2025-10-09,164,Compliant,Low,Ms Kathleen Fry,Fire and Rescue Authority,LIF-np302bm-2025,,,Flat,False,34.0,16.0,9.0,4.0
548,54,Emergency Lighting Test,2024-05-30,2025-05-25,27,Due Soon,Low,Hayley Taylor,Local Authority Building Control,EME-DA045mI-2024,Inspection scheduled for next month.,,Flat,False,34.0,16.0,9.0,4.0
549,54,Fire Alarm System Test,2024-11-26,2025-05-25,27,Due Soon,High,Oliver Taylor,Fire and Rescue Authority,FIR-hg929Ak-2024,,,Flat,False,34.0,16.0,9.0,4.0
550,54,Fire Extinguisher Inspection,2024-12-17,2025-12-12,228,Compliant,Critical,Elliott Connor,Building Safety Regulator,FIR-ug990wC-2024,,,Flat,False,34.0,16.0,9.0,4.0
551,54,Water Risk Assessment,2024-10-16,2026-10-06,526,Compliant,Medium,Bethany Walker,Regulator of Social Housing,WAT-EJ895YD-2024,,,Flat,False,34.0,16.0,9.0,4.0
552,55,Fire Risk Assessment,2024-05-20,2025-05-15,17,Due Soon,High,Brenda Hammond,Fire and Rescue Authority,FIR-iT251Qv-2024,,,House,False,32.0,15.0,9.0,
553,55,Gas Safety Certificate,2025-03-10,2026-03-05,311,Compliant,Low,Kenneth Richardson,Regulator of Social Housing,GAS-fh768GS-2025,,,House,False,32.0,15.0,9.0,
554,55,Electrical Installation Condition Report,2025-01-25,2029-12-30,1707,Compliant,High,Michelle Lloyd,Fire and Rescue Authority,ELE-nE981WX-2025,,,House,False,32.0,15.0,9.0,
555,55,Asbestos Survey,2024-06-18,2026-06-08,406,Compliant,Low,Danielle Shah,Fire and Rescue Authority,ASB-Sc346wf-2024,,,House,False,32.0,15.0,9.0,
556,55,Legionella Risk Assessment,2024-12-29,2026-12-19,600,Compliant,Medium,Gillian Jones-Davies,Regulator of Social Housing,LEG-Lj173md-2024,,,House,False,32.0,15.0,9.0,
557,55,Emergency Lighting Test,2025-01-19,2026-01-14,261,Compliant,Low,Jake Nicholls,Regulator of Social Housing,EME-Dl807Mu-2025,,,House,False,32.0,15.0,9.0,
558,55,Fire Alarm System Test,2025-03-21,2025-09-17,142,Compliant,Low,Josh Porter,Building Safety Regulator,FIR-RO240vz-2025,,,House,False,32.0,15.0,9.0,
559,55,Fire Extinguisher Inspection,2025-02-14,2026-02-09,287,Compliant,Critical,Mr Allan Jennings,Regulator of Social Housing,FIR-Xu875Ys-2025,No issues found.,,House,False,32.0,15.0,9.0,
560,55,Smoke/Heat Detector Test,2025-01-28,2026-01-23,270,Compliant,Medium,Guy Begum,Health and Safety Executive,SMO-Fl006eQ-2025,Routine inspection completed successfully.,,House,False,32.0,15.0,9.0,
561,55,Water Risk Assessment,2024-07-07,2026-06-27,425,Compliant,High,Ms Nicola Evans,Building Safety Regulator,WAT-vz136cU-2024,,,House,False,32.0,15.0,9.0,
562,56,Fire Risk Assessment,2024-09-18,2025-09-13,138,Compliant,Low,Carly Wallace,Building Safety Regulator,FIR-yX522UG-2024,,,Flat,False,32.0,3.0,1.0,4.0
563,56,Gas Safety Certificate,2024-07-29,2025-07-24,87,Compliant,Low,Declan Miller,Health and Safety Executive,GAS-pr823rA-2024,,,Flat,False,32.0,3.0,1.0,4.0
564,56,Electrical Installation Condition Report,2025-03-23,2030-02-25,1764,Compliant,Medium,Vanessa Gould,Regulator of Social Housing,ELE-fI206ge-2025,,,Flat,False,32.0,3.0,1.0,4.0
565,56,Asbestos Survey,2024-11-20,2026-11-10,561,Compliant,High,Mr Lee Slater,Housing Ombudsman,ASB-hM313kQ-2024,,,Flat,False,32.0,3.0,1.0,4.0
566,56,Legionella Risk Assessment,2024-07-05,2026-06-25,423,Compliant,Low,Nigel Hart,Housing Ombudsman,LEG-nZ041xS-2024,,,Flat,False,32.0,3.0,1.0,4.0
567,56,Lift Inspection,2025-03-25,2025-09-21,146,Compliant,High,Dr Iain Atkinson,Building Safety Regulator,LIF-cf705uh-2025,,,Flat,False,32.0,3.0,1.0,4.0
568,56,Emergency Lighting Test,2024-10-04,2025-09-29,154,Compliant,Critical,Mrs Caroline Kelly,Local Authority Building Control,EME-Hw903kd-2024,,,Flat,False,32.0,3.0,1.0,4.0
569,56,Fire Extinguisher Inspection,2024-05-30,2025-05-25,27,Due Soon,Low,Holly Mitchell,Building Safety Regulator,FIR-oQ874bt-2024,,Implement temporary safety measures until full compliance achieved.,Flat,False,32.0,3.0,1.0,4.0
570,56,Smoke/Heat Detector Test,2025-04-04,2026-03-30,336,Compliant,Medium,Mrs Kate Roberts,Regulator of Social Housing,SMO-sh422zl-2025,,,Flat,False,32.0,3.0,1.0,4.0
571,57,Fire Risk Assessment,2025-02-24,2026-02-19,297,Compliant,Medium,Craig Baker,Building Safety Regulator,FIR-MO384dv-2025,,,Flat,False,35.0,7.0,4.0,8.0
572,57,Gas Safety Certificate,2025-04-24,2026-04-19,356,Compliant,Medium,Antony Warren,Regulator of Social Housing,GAS-OV880ez-2025,Fully compliant with current regulations.,,Flat,False,35.0,7.0,4.0,8.0
573,57,Electrical Installation Condition Report,2024-07-22,2029-06-26,1520,Compliant,Medium,Ms Nicola Wade,Health and Safety Executive,ELE-Qn692Ji-2024,,,Flat,False,35.0,7.0,4.0,8.0
574,57,Asbestos Survey,2025-01-10,2026-12-31,612,Compliant,Low,Mr Martin Field,Housing Ombudsman,ASB-KZ102OT-2025,Routine inspection completed successfully.,,Flat,False,35.0,7.0,4.0,8.0
575,57,Legionella Risk Assessment,2024-10-27,2026-10-17,537,Compliant,Critical,Annette Clarke-Mills,Fire and Rescue Authority,LEG-WN039oG-2024,Fully compliant with current regulations.,,Flat,False,35.0,7.0,4.0,8.0
576,57,Lift Inspection,2024-12-26,2025-06-24,57,Compliant,Low,Gemma Nixon,Health and Safety Executive,LIF-qo782mo-2024,No issues found.,,Flat,False,35.0,7.0,4.0,8.0
577,57,Emergency Lighting Test,2024-05-21,2025-05-16,18,Due Soon,High,Leanne Farrell,Health and Safety Executive,EME-lZ725AY-2024,,Notify tenants of upcoming mandatory access requirements.,Flat,False,35.0,7.0,4.0,8.0
578,57,Fire Alarm System Test,2025-02-28,2025-08-27,121,Compliant,Low,Donald Porter,Fire and Rescue Authority,FIR-zE695AX-2025,,,Flat,False,35.0,7.0,4.0,8.0
579,57,Fire Extinguisher Inspection,2025-04-08,2026-04-03,340,Compliant,High,Bryan Green-King,Fire and Rescue Authority,FIR-KS653pH-2025,,,Flat,False,35.0,7.0,4.0,8.0
580,57,Smoke/Heat Detector Test,2025-03-11,2026-03-06,312,Compliant,High,Sam Cooke-Taylor,Health and Safety Executive,SMO-FS723go-2025,All systems functioning correctly.,,Flat,False,35.0,7.0,4.0,8.0
581,57,Water Risk Assessment,2024-04-27,2026-04-17,354,Compliant,Low,Georgia Begum,Housing Ombudsman,WAT-LP763cb-2024,,,Flat,False,35.0,7.0,4.0,8.0
582,58,Fire Risk Assessment,2024-11-04,2025-10-30,185,Compliant,Low,Bethan Barker-Atkinson,Building Safety Regulator,FIR-Ru882zr-2024,,,Flat,False,35.0,11.0,6.0,1.0
583,58,Gas Safety Certificate,2024-09-25,2025-09-20,145,Compliant,High,Carole Giles,Local Authority Building Control,GAS-Ju271xI-2024,No issues found.,,Flat,False,35.0,11.0,6.0,1.0
584,58,Electrical Installation Condition Report,2025-03-06,2030-02-08,1747,Compliant,High,Hugh Roberts,Housing Ombudsman,ELE-EZ084RC-2025,,,Flat,False,35.0,11.0,6.0,1.0
585,58,Asbestos Survey,2023-08-12,2025-08-01,95,Compliant,Medium,Matthew Mitchell,Fire and Rescue Authority,ASB-pH346TN-2023,,,Flat,False,35.0,11.0,6.0,1.0
586,58,Legionella Risk Assessment,2025-02-21,2027-02-11,654,Compliant,High,Ms Lynn White,Building Safety Regulator,LEG-IK004JG-2025,Minor recommendations noted for future reference.,,Flat,False,35.0,11.0,6.0,1.0
587,58,Lift Inspection,2024-11-12,2025-05-11,13,Due Soon,Low,Dr Pauline Stevenson,Regulator of Social Housing,LIF-lb357xy-2024,,,Flat,False,35.0,11.0,6.0,1.0
588,58,Emergency Lighting Test,2025-01-04,2025-12-30,246,Compliant,High,Jill Williams,Regulator of Social Housing,EME-MK792bs-2025,,,Flat,False,35.0,11.0,6.0,1.0
589,58,Fire Alarm System Test,2024-11-21,2025-05-20,22,Compliant,Medium,Chelsea Thomas-Richards,Local Authority Building Control,FIR-ZM634GF-2024,,,Flat,False,35.0,11.0,6.0,1.0
590,58,Fire Extinguisher Inspection,2025-02-11,2026-02-06,284,Compliant,Medium,Elliott Jones,Housing Ombudsman,FIR-jh389Ah-2025,,,Flat,False,35.0,11.0,6.0,1.0
591,58,Smoke/Heat Detector Test,2025-02-07,2026-02-02,280,Compliant,Low,Neil Page,Building Safety Regulator,SMO-GX035Ik-2025,,,Flat,False,35.0,11.0,6.0,1.0
592,58,Water Risk Assessment,2023-12-12,2025-12-01,217,Compliant,Low,Fiona Porter,Fire and Rescue Authority,WAT-GY148fr-2023,,,Flat,False,35.0,11.0,6.0,1.0
593,59,Fire Risk Assessment,2024-06-03,2025-05-29,31,Compliant,Low,Emma Smith-Manning,Local Authority Building Control,FIR-RJ668UG-2024,Minor recommendations noted for future reference.,,Block of Flats,False,34.0,16.0,9.0,
594,59,Gas Safety Certificate,2024-08-16,2025-08-11,105,Compliant,Medium,Mr Colin Mason,Health and Safety Executive,GAS-Ni720Ei-2024,,,Block of Flats,False,34.0,16.0,9.0,
595,59,Electrical Installation Condition Report,2023-01-23,2027-12-28,974,Compliant,Low,Dr Jemma Smith,Housing Ombudsman,ELE-vw393Wg-2023,,,Block of Flats,False,34.0,16.0,9.0,
596,59,Asbestos Survey,2024-06-16,2026-06-06,404,Compliant,High,Edward Jackson,Housing Ombudsman,ASB-sV435cx-2024,,,Block of Flats,False,34.0,16.0,9.0,
597,59,Legionella Risk Assessment,2024-05-14,2026-05-04,371,Compliant,Medium,Mrs Francesca Kaur,Health and Safety Executive,LEG-RH489WM-2024,,,Block of Flats,False,34.0,16.0,9.0,
598,59,Emergency Lighting Test,2024-06-15,2025-06-10,43,Compliant,Low,Reece Grant,Regulator of Social Housing,EME-hn321Is-2024,,,Block of Flats,False,34.0,16.0,9.0,
599,59,Fire Alarm System Test,2024-11-11,2025-05-10,12,Due Soon,Low,Shannon Smith-Bentley,Fire and Rescue Authority,FIR-PA343vH-2024,Contractor appointment pending.,,Block of Flats,False,34.0,16.0,9.0,
600,59,Fire Extinguisher Inspection,2025-02-03,2026-01-29,276,Compliant,Low,Dr Garry Simmons,Regulator of Social Housing,FIR-jB399qT-2025,,,Block of Flats,False,34.0,16.0,9.0,
601,59,Smoke/Heat Detector Test,2025-01-18,2026-01-13,260,Overdue,Low,Dr Donna Arnold,Building Safety Regulator,SMO-UX031Vv-2025,Contractor availability issues.,Notify tenants of upcoming mandatory access requirements.,Block of Flats,False,34.0,16.0,9.0,
602,59,Water Risk Assessment,2025-04-05,2027-03-26,697,Compliant,High,Diana Fry-Taylor,Regulator of Social Housing,WAT-xb293bq-2025,,,Block of Flats,False,34.0,16.0,9.0,
603,60,Fire Risk Assessment,2024-05-26,2025-05-21,23,Due Soon,Medium,Brett Nolan-Fletcher,Housing Ombudsman,FIR-tU188xE-2024,Follow-up required before expiry.,Notify tenants of upcoming mandatory access requirements.,Flat,False,32.0,15.0,9.0,5.0
604,60,Electrical Installation Condition Report,2024-08-24,2029-07-29,1553,Compliant,High,Dr Steven Williams,Local Authority Building Control,ELE-QI148bd-2024,,,Flat,False,32.0,15.0,9.0,5.0
605,60,Asbestos Survey,2025-03-06,2027-02-24,667,Compliant,High,Stephen Turner,Housing Ombudsman,ASB-bI155mt-2025,,,Flat,False,32.0,15.0,9.0,5.0
606,60,Legionella Risk Assessment,2024-09-26,2026-09-16,506,Compliant,High,Jacob Hyde,Regulator of Social Housing,LEG-ri740gE-2024,,,Flat,False,32.0,15.0,9.0,5.0
607,60,Lift Inspection,2025-02-12,2025-08-11,105,Compliant,Critical,Roger Read,Local Authority Building Control,LIF-lw363rm-2025,Fully compliant with current regulations.,,Flat,False,32.0,15.0,9.0,5.0
608,60,Emergency Lighting Test,2024-11-26,2025-11-21,207,Compliant,High,Dennis Richardson,Housing Ombudsman,EME-Xk712By-2024,,,Flat,False,32.0,15.0,9.0,5.0
609,60,Fire Alarm System Test,2024-11-18,2025-05-17,19,Due Soon,Critical,Laura Bentley,Local Authority Building Control,FIR-gV648HZ-2024,,Review previous inspection reports for recurring issues.,Flat,False,32.0,15.0,9.0,5.0
610,60,Fire Extinguisher Inspection,2024-05-31,2025-05-26,28,Due Soon,Low,Wendy Coates,Local Authority Building Control,FIR-Md874Bv-2024,Contractor appointment pending.,,Flat,False,32.0,15.0,9.0,5.0
611,60,Smoke/Heat Detector Test,2024-07-04,2025-06-29,62,Compliant,Medium,Melanie Harris,Regulator of Social Housing,SMO-jO040hF-2024,,,Flat,False,32.0,15.0,9.0,5.0
612,60,Water Risk Assessment,2024-07-29,2026-07-19,447,Compliant,High,George Perry,Building Safety Regulator,WAT-uZ261QF-2024,,,Flat,False,32.0,15.0,9.0,5.0
613,61,Fire Risk Assessment,2025-02-13,2026-02-08,286,Compliant,Low,Diane Fisher-Burns,Fire and Rescue Authority,FIR-Et112VP-2025,,,House,False,35.0,11.0,6.0,3.0
614,61,Gas Safety Certificate,2024-12-21,2025-12-16,232,Compliant,Low,Carol Turner,Fire and Rescue Authority,GAS-So073Qo-2024,,,House,False,35.0,11.0,6.0,3.0
615,61,Electrical Installation Condition Report,2022-10-15,2027-09-19,874,Overdue,Low,Robert Holmes,Regulator of Social Housing,ELE-mB997WR-2022,Contractor availability issues.,Notify tenants of upcoming mandatory access requirements.,House,False,35.0,11.0,6.0,3.0
616,61,Asbestos Survey,2023-11-22,2025-11-11,197,Compliant,Low,Miss Jill Allen,Regulator of Social Housing,ASB-jW788Av-2023,,,House,False,35.0,11.0,6.0,3.0
617,61,Legionella Risk Assessment,2024-10-12,2026-10-02,522,Compliant,Critical,Martin Green,Regulator of Social Housing,LEG-dp666CS-2024,,,House,False,35.0,11.0,6.0,3.0
618,61,Emergency Lighting Test,2024-12-21,2025-12-16,232,Compliant,Low,Mr Joe Young,Building Safety Regulator,EME-TZ180Ud-2024,,,House,False,35.0,11.0,6.0,3.0
619,61,Fire Alarm System Test,2024-11-14,2025-05-13,15,Due Soon,High,Alison Holloway,Housing Ombudsman,FIR-RY804Vk-2024,Renewal process initiated.,Notify tenants of upcoming mandatory access requirements.,House,False,35.0,11.0,6.0,3.0
620,61,Fire Extinguisher Inspection,2025-01-28,2026-01-23,270,Compliant,Low,Reece Carroll,Health and Safety Executive,FIR-NX884oZ-2025,All systems functioning correctly.,,House,False,35.0,11.0,6.0,3.0
621,61,Smoke/Heat Detector Test,2025-04-08,2026-04-03,340,Compliant,Low,Rachael Moss,Housing Ombudsman,SMO-vn454Fw-2025,,,House,False,35.0,11.0,6.0,3.0
622,61,Water Risk Assessment,2025-04-26,2027-04-16,718,Compliant,High,Conor Gibbs-Booth,Regulator of Social Housing,WAT-xR103Dw-2025,,,House,False,35.0,11.0,6.0,3.0
623,62,Gas Safety Certificate,2024-06-12,2025-06-07,40,Compliant,Medium,Ms Jean Jones,Regulator of Social Housing,GAS-rZ001Ib-2024,,,Flat,False,35.0,17.0,10.0,7.0
624,62,Electrical Installation Condition Report,2024-11-30,2029-11-04,1651,Compliant,Medium,Dr Jennifer Henry,Fire and Rescue Authority,ELE-sb652RU-2024,,,Flat,False,35.0,17.0,10.0,7.0
625,62,Asbestos Survey,2023-11-28,2025-11-17,203,Compliant,Medium,Dr Maurice Rogers,Building Safety Regulator,ASB-Vn978WB-2023,All systems functioning correctly.,,Flat,False,35.0,17.0,10.0,7.0
626,62,Legionella Risk Assessment,2024-05-24,2026-05-14,381,Compliant,Medium,Mr Steven Wallis,Local Authority Building Control,LEG-ni930MH-2024,,,Flat,False,35.0,17.0,10.0,7.0
627,62,Lift Inspection,2024-12-06,2025-06-04,37,Compliant,Medium,Rhys Chadwick,Regulator of Social Housing,LIF-zG813dw-2024,Routine inspection completed successfully.,,Flat,False,35.0,17.0,10.0,7.0
628,62,Emergency Lighting Test,2024-06-18,2025-06-13,46,Compliant,Critical,Craig Wilkinson,Local Authority Building Control,EME-DM541fH-2024,,,Flat,False,35.0,17.0,10.0,7.0
629,62,Fire Alarm System Test,2025-03-30,2025-09-26,151,Compliant,Low,Dr Charlie Dixon,Housing Ombudsman,FIR-fF479yM-2025,,,Flat,False,35.0,17.0,10.0,7.0
630,62,Smoke/Heat Detector Test,2024-08-08,2025-08-03,97,Compliant,High,Mrs Catherine Manning,Building Safety Regulator,SMO-ri107HS-2024,,,Flat,False,35.0,17.0,10.0,7.0
631,62,Water Risk Assessment,2024-06-04,2026-05-25,392,Compliant,Medium,Natalie James,Health and Safety Executive,WAT-JL501zV-2024,Fully compliant with current regulations.,,Flat,False,35.0,17.0,10.0,7.0
632,63,Fire Risk Assessment,2025-01-11,2026-01-06,253,Compliant,Medium,Teresa French,Local Authority Building Control,FIR-nR043Cv-2025,,,Flat,False,31.0,1.0,1.0,5.0
633,63,Gas Safety Certificate,2024-07-27,2025-07-22,85,Compliant,Low,Mr Clive Holloway,Regulator of Social Housing,GAS-Mg606GV-2024,,,Flat,False,31.0,1.0,1.0,5.0
634,63,Electrical Installation Condition Report,2024-05-12,2029-04-16,1449,Compliant,Critical,Vincent Blake,Fire and Rescue Authority,ELE-Xq615PK-2024,No issues found.,,Flat,False,31.0,1.0,1.0,5.0
635,63,Asbestos Survey,2024-07-17,2026-07-07,435,Due Soon,High,Ruth Williams,Fire and Rescue Authority,ASB-DH156uW-2024,Follow-up required before expiry.,,Flat,False,31.0,1.0,1.0,5.0
636,63,Legionella Risk Assessment,2023-06-09,2025-05-29,31,Compliant,Low,Rachael Robinson,Regulator of Social Housing,LEG-kw431rl-2023,,,Flat,False,31.0,1.0,1.0,5.0
637,63,Lift Inspection,2024-10-31,2025-04-29,1,Due Soon,Medium,Jane Miller,Fire and Rescue Authority,LIF-tU233Wf-2024,,Prepare documentation for regulatory submission.,Flat,False,31.0,1.0,1.0,5.0
638,63,Emergency Lighting Test,2024-12-05,2025-11-30,216,Compliant,Medium,Mrs Vanessa Robinson,Building Safety Regulator,EME-hw276OO-2024,,,Flat,False,31.0,1.0,1.0,5.0
639,63,Fire Alarm System Test,2025-03-19,2025-09-15,140,Compliant,Low,Miss Bethan Harrison,Local Authority Building Control,FIR-kF433cZ-2025,,,Flat,False,31.0,1.0,1.0,5.0
640,63,Fire Extinguisher Inspection,2024-11-28,2025-11-23,209,Compliant,High,Owen Hopkins,Local Authority Building Control,FIR-Jg005Zj-2024,,,Flat,False,31.0,1.0,1.0,5.0
641,63,Smoke/Heat Detector Test,2024-06-01,2025-05-27,29,Due Soon,Critical,Tony Turner,Health and Safety Executive,SMO-WF545fx-2024,Renewal process initiated.,Schedule inspection immediately.,Flat,False,31.0,1.0,1.0,5.0
642,64,Fire Risk Assessment,2025-03-16,2026-03-11,317,Compliant,Medium,Miss Eileen Khan,Regulator of Social Housing,FIR-bh734Ks-2025,,,Flat,False,31.0,1.0,1.0,1.0
643,64,Gas Safety Certificate,2024-06-02,2025-05-28,30,Compliant,Low,Mr Glen Martin,Local Authority Building Control,GAS-eb896mr-2024,All systems functioning correctly.,,Flat,False,31.0,1.0,1.0,1.0
644,64,Electrical Installation Condition Report,2024-09-06,2029-08-11,1566,Due Soon,Low,Ms Laura Williams,Health and Safety Executive,ELE-EN866qs-2024,,,Flat,False,31.0,1.0,1.0,1.0
645,64,Asbestos Survey,2023-10-14,2025-10-03,158,Compliant,Medium,Ben White-Nicholson,Fire and Rescue Authority,ASB-LV157Mc-2023,Fully compliant with current regulations.,,Flat,False,31.0,1.0,1.0,1.0
646,64,Legionella Risk Assessment,2024-12-18,2026-12-08,589,Compliant,Low,Lynne Wood,Local Authority Building Control,LEG-sy502Fc-2024,Fully compliant with current regulations.,,Flat,False,31.0,1.0,1.0,1.0
647,64,Lift Inspection,2024-12-25,2025-06-23,56,Compliant,Low,Ms Sheila Chapman,Housing Ombudsman,LIF-BU843kd-2024,,,Flat,False,31.0,1.0,1.0,1.0
648,64,Emergency Lighting Test,2024-07-12,2025-07-07,70,Compliant,Low,Dr Tina Clark,Fire and Rescue Authority,EME-KU608Tl-2024,,,Flat,False,31.0,1.0,1.0,1.0
649,64,Fire Alarm System Test,2025-03-03,2025-08-30,124,Compliant,Low,Dr David Andrews,Regulator of Social Housing,FIR-ot921ep-2025,,,Flat,False,31.0,1.0,1.0,1.0
