propertyid,quarter,year,period_start,period_end,expected_rent_gbp,actual_rent_gbp,rent_collection_rate_percent,void_loss_gbp,service_charge_income_gbp,maintenance_cost_gbp,management_cost_gbp,net_income_gbp,estimated_property_value_gbp,quarterly_roi_percent,annualized_roi_percent,property_type,blockid,estateid
113,3,2023,2023-07-01,2023-11-30,2643,2619,99.1,0,582,549,306,2346,186136,1.26,5.04,Flat,3.0,1.0
308,3,2023,2023-07-01,2023-11-30,2510,2323,92.6,0,460,791,221,1771,260121,0.68,2.72,Flat,18.0,
482,3,2023,2023-07-01,2023-11-30,1836,1794,97.7,0,584,577,201,1600,218434,0.73,2.93,Flat,,
350,3,2023,2023-07-01,2023-11-30,2354,2207,93.8,0,0,722,191,1295,227000,0.57,2.28,Block of Flats,21.0,
225,3,2023,2023-07-01,2023-11-30,2629,2600,98.9,0,557,210,227,2720,160248,1.7,6.79,Flat,15.0,9.0
398,3,2023,2023-07-01,2023-11-30,2582,2461,95.3,0,165,236,254,2136,185723,1.15,4.6,House,19.0,
108,3,2023,2023-07-01,2023-11-30,1867,1778,95.2,1224,550,225,215,664,244416,0.27,1.09,Flat,11.0,6.0
326,3,2023,2023-07-01,2023-11-30,2301,2128,92.5,0,403,786,254,1491,281709,0.53,2.12,Flat,19.0,
134,3,2023,2023-07-01,2023-11-30,1901,1764,92.8,972,502,273,197,825,225283,0.37,1.46,Flat,9.0,5.0
45,3,2023,2023-07-01,2023-11-30,3218,2954,91.8,0,150,364,374,2366,227825,1.04,4.15,House,8.0,4.0
160,3,2023,2023-07-01,2023-11-30,2601,2558,98.4,0,116,454,250,1970,253203,0.78,3.11,House,1.0,1.0
36,3,2023,2023-07-01,2023-11-30,2555,2360,92.4,0,341,413,228,2060,217380,0.95,3.79,Flat,13.0,8.0
29,3,2023,2023-07-01,2023-11-30,2525,2344,92.8,0,336,734,277,1669,266131,0.63,2.51,Flat,8.0,4.0
143,3,2023,2023-07-01,2023-11-30,2817,2545,90.3,0,137,408,276,1998,303789,0.66,2.63,House,12.0,7.0
343,3,2023,2023-07-01,2023-11-30,2053,2020,98.4,0,0,703,240,1077,276159,0.39,1.56,Block of Flats,19.0,
96,3,2023,2023-07-01,2023-11-30,2704,2694,99.6,1713,367,756,291,302,177336,0.17,0.68,Flat,8.0,4.0
379,3,2023,2023-07-01,2023-11-30,2393,2231,93.2,0,437,705,203,1760,255816,0.69,2.75,Flat,22.0,
499,3,2023,2023-07-01,2023-11-30,1995,1878,94.1,0,564,268,219,1955,276668,0.71,2.83,Flat,,
413,3,2023,2023-07-01,2023-11-30,1881,1755,93.3,0,585,412,156,1772,182927,0.97,3.87,Flat,20.0,
101,3,2023,2023-07-01,2023-11-30,2423,2221,91.6,0,545,593,257,1916,258635,0.74,2.96,Flat,11.0,6.0
425,3,2023,2023-07-01,2023-11-30,2460,2437,99.0,0,349,655,203,1927,309514,0.62,2.49,Flat,18.0,
261,3,2023,2023-07-01,2023-11-30,1858,1725,92.8,0,450,501,179,1495,273162,0.55,2.19,Flat,22.0,
63,3,2023,2023-07-01,2023-11-30,2228,2217,99.5,0,418,511,242,1882,228735,0.82,3.29,Flat,1.0,1.0
129,3,2023,2023-07-01,2023-11-30,2504,2369,94.6,0,532,376,276,2249,295501,0.76,3.04,Flat,11.0,6.0
464,3,2023,2023-07-01,2023-11-30,2044,1895,92.7,0,587,295,179,2009,152914,1.31,5.25,Flat,,
469,3,2023,2023-07-01,2023-11-30,2684,2667,99.4,0,409,616,273,2187,150001,1.46,5.83,Flat,,
404,3,2023,2023-07-01,2023-11-30,2616,2509,95.9,0,482,673,229,2089,317944,0.66,2.63,Flat,18.0,
431,3,2023,2023-07-01,2023-11-30,3287,3223,98.1,0,225,390,305,2753,254584,1.08,4.33,House,,
208,3,2023,2023-07-01,2023-11-30,2067,1956,94.6,0,506,535,183,1744,222619,0.78,3.13,Flat,17.0,10.0
252,3,2023,2023-07-01,2023-11-30,2489,2316,93.1,0,466,697,205,1880,284864,0.66,2.64,Flat,19.0,
202,3,2023,2023-07-01,2023-11-30,2419,2294,94.8,0,376,413,237,2020,184932,1.09,4.37,Flat,6.0,4.0
162,3,2023,2023-07-01,2023-11-30,2210,2066,93.5,0,0,359,242,1465,345848,0.42,1.69,Block of Flats,14.0,9.0
44,3,2023,2023-07-01,2023-11-30,2128,2083,97.9,0,450,450,186,1897,152895,1.24,4.96,Flat,12.0,7.0
106,3,2023,2023-07-01,2023-11-30,3481,3369,96.8,0,289,379,344,2934,150522,1.95,7.8,House,10.0,5.0
54,3,2023,2023-07-01,2023-11-30,2325,2188,94.1,0,487,242,254,2179,167699,1.3,5.2,Flat,16.0,9.0
390,3,2023,2023-07-01,2023-11-30,2724,2567,94.2,0,199,246,279,2240,208379,1.08,4.3,House,19.0,
2,3,2023,2023-07-01,2023-11-30,1880,1830,97.3,0,370,696,170,1334,288980,0.46,1.85,Flat,15.0,9.0
442,3,2023,2023-07-01,2023-11-30,3107,2981,95.9,0,197,772,335,2071,211777,0.98,3.91,House,,
420,3,2023,2023-07-01,2023-11-30,1972,1962,99.5,0,490,220,181,2052,182654,1.12,4.49,Flat,20.0,
35,3,2023,2023-07-01,2023-11-30,2371,2229,94.0,0,0,303,279,1647,294902,0.56,2.23,Block of Flats,8.0,4.0
264,3,2023,2023-07-01,2023-11-30,2333,2290,98.2,0,519,782,191,1836,150163,1.22,4.89,Flat,22.0,
53,3,2023,2023-07-01,2023-11-30,2004,1967,98.2,0,466,386,194,1853,233125,0.8,3.18,Flat,9.0,5.0
265,3,2023,2023-07-01,2023-11-30,2190,2084,95.1,195,462,636,187,1528,161755,0.94,3.78,Flat,22.0,
329,3,2023,2023-07-01,2023-11-30,2191,2022,92.3,0,545,396,233,1938,184629,1.05,4.2,Flat,19.0,
307,3,2023,2023-07-01,2023-11-30,2556,2541,99.4,1392,165,704,247,363,254768,0.14,0.57,House,18.0,
481,3,2023,2023-07-01,2023-11-30,2669,2470,92.5,0,0,360,309,1801,282015,0.64,2.55,Block of Flats,,
362,4,2023,2023-10-01,2023-12-31,2975,2928,98.4,0,110,784,244,2010,314464,0.64,2.56,House,21.0,
69,4,2023,2023-10-01,2023-12-31,1887,1767,93.6,0,477,582,215,1447,176768,0.82,3.27,Flat,5.0,3.0
451,4,2023,2023-10-01,2023-12-31,2468,2318,93.9,0,552,639,205,2025,219948,0.92,3.68,Flat,,
10,4,2023,2023-10-01,2023-12-31,2571,2543,98.9,628,383,318,286,1693,154872,1.09,4.37,Flat,6.0,4.0
492,4,2023,2023-10-01,2023-12-31,3057,2887,94.4,0,122,474,331,2204,307556,0.72,2.87,House,,
77,4,2023,2023-10-01,2023-12-31,2775,2548,91.8,0,499,483,263,2301,165098,1.39,5.58,Flat,11.0,6.0
498,4,2023,2023-10-01,2023-12-31,3472,3177,91.5,0,204,322,402,2657,283612,0.94,3.75,House,,
174,4,2023,2023-10-01,2023-12-31,1848,1795,97.1,0,495,392,174,1724,319577,0.54,2.16,Flat,11.0,6.0
334,4,2023,2023-10-01,2023-12-31,2698,2648,98.2,0,500,344,232,2572,284460,0.9,3.62,Flat,19.0,
1,4,2023,2023-10-01,2023-12-31,2103,1944,92.5,0,483,303,235,1889,303373,0.62,2.49,Flat,1.0,1.0
416,4,2023,2023-10-01,2023-12-31,3108,2892,93.1,0,198,662,306,2122,297211,0.71,2.86,House,21.0,
411,4,2023,2023-10-01,2023-12-31,2311,2125,92.0,0,326,638,198,1616,275274,0.59,2.35,Flat,19.0,
194,4,2023,2023-10-01,2023-12-31,1945,1938,99.7,0,332,451,181,1638,254813,0.64,2.57,Flat,4.0,2.0
19,4,2023,2023-10-01,2023-12-31,2516,2448,97.3,0,548,429,244,2323,164415,1.41,5.65,Flat,7.0,4.0
324,4,2023,2023-10-01,2023-12-31,2286,2116,92.6,0,304,206,222,1992,215441,0.92,3.7,Flat,19.0,
239,4,2023,2023-10-01,2023-12-31,2026,1828,90.2,855,518,313,175,1003,282071,0.36,1.42,Flat,22.0,
278,4,2023,2023-10-01,2023-12-31,2137,2007,93.9,0,417,574,188,1662,249957,0.67,2.66,Flat,20.0,
83,4,2023,2023-10-01,2023-12-31,3003,2744,91.4,0,175,203,264,2452,339932,0.72,2.89,House,14.0,9.0
478,4,2023,2023-10-01,2023-12-31,2503,2333,93.2,0,0,298,299,1736,297679,0.58,2.33,Block of Flats,,
91,4,2023,2023-10-01,2023-12-31,2125,2051,96.5,0,307,499,212,1648,316463,0.52,2.08,Flat,10.0,5.0
313,4,2023,2023-10-01,2023-12-31,2506,2364,94.3,0,470,382,240,2213,247165,0.9,3.58,Flat,21.0,
473,4,2023,2023-10-01,2023-12-31,1935,1935,100.0,0,527,682,223,1557,252057,0.62,2.47,Flat,,
323,4,2023,2023-10-01,2023-12-31,2272,2157,94.9,0,0,263,217,1677,326908,0.51,2.05,Block of Flats,21.0,
57,4,2023,2023-10-01,2023-12-31,1823,1772,97.2,0,491,500,194,1568,285525,0.55,2.2,Flat,7.0,4.0
26,4,2023,2023-10-01,2023-12-31,1988,1961,98.7,331,507,233,176,1728,230822,0.75,3.0,Flat,5.0,3.0
238,4,2023,2023-10-01,2023-12-31,2372,2220,93.6,0,460,723,281,1675,160182,1.05,4.18,Flat,18.0,
118,4,2023,2023-10-01,2023-12-31,1872,1720,91.9,0,452,696,166,1310,303454,0.43,1.73,Flat,10.0,5.0
43,4,2023,2023-10-01,2023-12-31,2262,2145,94.8,0,0,681,240,1223,288661,0.42,1.7,Block of Flats,16.0,9.0
221,4,2023,2023-10-01,2023-12-31,2730,2569,94.1,0,408,298,237,2442,322960,0.76,3.02,Flat,7.0,4.0
154,4,2023,2023-10-01,2023-12-31,2960,2842,96.0,0,254,403,282,2410,197414,1.22,4.88,House,15.0,9.0
58,4,2023,2023-10-01,2023-12-31,1829,1698,92.8,0,537,650,186,1399,249928,0.56,2.24,Flat,11.0,6.0
193,4,2023,2023-10-01,2023-12-31,2607,2351,90.2,0,568,227,248,2444,303711,0.8,3.22,Flat,17.0,10.0
95,4,2023,2023-10-01,2023-12-31,3173,3173,100.0,0,151,409,298,2617,342357,0.76,3.06,House,13.0,8.0
427,4,2023,2023-10-01,2023-12-31,2256,2165,96.0,0,577,524,200,2018,156639,1.29,5.15,Flat,,
6,4,2023,2023-10-01,2023-12-31,2642,2622,99.2,0,372,366,257,2370,249442,0.95,3.8,Flat,3.0,1.0
463,4,2023,2023-10-01,2023-12-31,2465,2277,92.4,0,557,315,284,2234,220334,1.01,4.06,Flat,,
4,4,2023,2023-10-01,2023-12-31,3110,2858,91.9,0,299,555,291,2311,307888,0.75,3.0,House,11.0,6.0
111,4,2023,2023-10-01,2023-12-31,2283,2221,97.3,0,461,317,271,2094,193979,1.08,4.32,Flat,8.0,4.0
429,4,2023,2023-10-01,2023-12-31,2174,2095,96.4,0,471,641,198,1727,166041,1.04,4.16,Flat,,
472,4,2023,2023-10-01,2023-12-31,2799,2544,90.9,0,293,247,314,2276,296452,0.77,3.07,House,,
27,4,2023,2023-10-01,2023-12-31,2189,2081,95.1,0,524,265,235,2105,259927,0.81,3.24,Flat,9.0,5.0
8,4,2023,2023-10-01,2023-12-31,2781,2703,97.2,0,228,605,247,2079,292752,0.71,2.84,House,14.0,9.0
109,4,2023,2023-10-01,2023-12-31,2493,2264,90.8,0,424,694,212,1782,188049,0.95,3.79,Flat,16.0,9.0
38,4,2023,2023-10-01,2023-12-31,2443,2292,93.8,0,524,388,242,2185,153036,1.43,5.71,Flat,17.0,10.0
158,4,2023,2023-10-01,2023-12-31,1905,1770,92.9,0,314,708,155,1221,239861,0.51,2.04,Flat,7.0,4.0
490,4,2023,2023-10-01,2023-12-31,2266,2131,94.0,0,340,609,188,1674,183435,0.91,3.65,Flat,,
115,4,2023,2023-10-01,2023-12-31,2392,2367,98.9,0,474,447,212,2181,304871,0.72,2.86,Flat,9.0,5.0
370,4,2023,2023-10-01,2023-12-31,2292,2189,95.5,0,562,448,221,2082,308542,0.67,2.7,Flat,18.0,
196,4,2023,2023-10-01,2023-12-31,2682,2451,91.4,1728,551,787,253,233,278800,0.08,0.33,Flat,3.0,1.0
276,4,2023,2023-10-01,2023-12-31,2662,2424,91.0,0,300,286,285,2153,227403,0.95,3.79,House,19.0,
142,4,2023,2023-10-01,2023-12-31,2481,2404,96.9,992,0,490,280,642,155869,0.41,1.65,Block of Flats,14.0,9.0
68,4,2023,2023-10-01,2023-12-31,3464,3181,91.8,0,147,452,316,2561,324125,0.79,3.16,House,2.0,1.0
169,4,2023,2023-10-01,2023-12-31,2126,1977,93.0,0,309,667,181,1438,325311,0.44,1.77,Flat,14.0,9.0
494,4,2023,2023-10-01,2023-12-31,2382,2177,91.4,0,527,738,247,1720,224264,0.77,3.07,Flat,,
273,4,2023,2023-10-01,2023-12-31,2615,2604,99.6,0,0,262,236,2107,178571,1.18,4.72,Block of Flats,19.0,
93,4,2023,2023-10-01,2023-12-31,1896,1755,92.5,0,521,301,224,1751,265229,0.66,2.64,Flat,16.0,9.0
468,4,2023,2023-10-01,2023-12-31,2409,2174,90.3,0,366,641,200,1700,280590,0.61,2.42,Flat,,
84,4,2023,2023-10-01,2023-12-31,2491,2300,92.3,0,565,796,260,1809,298813,0.61,2.42,Flat,6.0,4.0
251,4,2023,2023-10-01,2023-12-31,1808,1686,93.2,0,326,653,162,1197,260666,0.46,1.84,Flat,18.0,
120,4,2023,2023-10-01,2023-12-31,3374,3156,93.5,1387,264,663,370,1001,217768,0.46,1.84,House,7.0,4.0
226,4,2023,2023-10-01,2023-12-31,2669,2499,93.6,0,314,327,251,2234,313626,0.71,2.85,Flat,22.0,
354,4,2023,2023-10-01,2023-12-31,2249,2067,91.9,0,416,534,247,1702,157313,1.08,4.33,Flat,22.0,
37,4,2023,2023-10-01,2023-12-31,1961,1913,97.5,0,301,562,224,1428,286052,0.5,2.0,Flat,10.0,5.0
140,4,2023,2023-10-01,2023-12-31,1880,1693,90.1,0,521,569,153,1492,315480,0.47,1.89,Flat,1.0,1.0
287,4,2023,2023-10-01,2023-12-31,1852,1812,97.9,1132,457,370,155,613,287437,0.21,0.85,Flat,19.0,
361,4,2023,2023-10-01,2023-12-31,2235,2232,99.9,0,412,411,212,2020,261035,0.77,3.1,Flat,21.0,
178,4,2023,2023-10-01,2023-12-31,2378,2368,99.6,0,0,529,223,1616,214095,0.75,3.02,Block of Flats,16.0,9.0
450,4,2023,2023-10-01,2023-12-31,2526,2460,97.4,0,443,284,235,2384,252609,0.94,3.78,Flat,,
381,4,2023,2023-10-01,2023-12-31,1840,1795,97.6,0,532,347,188,1793,263583,0.68,2.72,Flat,21.0,
147,4,2023,2023-10-01,2023-12-31,3276,3204,97.8,0,284,281,337,2870,203449,1.41,5.64,House,3.0,1.0
148,4,2023,2023-10-01,2023-12-31,2824,2546,90.1,0,261,574,283,1950,183440,1.06,4.25,House,4.0,2.0
98,4,2023,2023-10-01,2023-12-31,3224,3168,98.3,0,263,576,312,2543,240121,1.06,4.24,House,15.0,9.0
408,4,2023,2023-10-01,2023-12-31,1935,1840,95.1,0,492,350,181,1801,318231,0.57,2.26,Flat,21.0,
203,4,2023,2023-10-01,2023-12-31,2564,2414,94.2,0,343,745,301,1711,158701,1.08,4.31,Flat,1.0,1.0
387,4,2023,2023-10-01,2023-12-31,2677,2622,97.9,0,466,348,224,2516,186049,1.35,5.41,Flat,22.0,
396,4,2023,2023-10-01,2023-12-31,2138,1947,91.0,0,0,614,229,1103,177964,0.62,2.48,Block of Flats,18.0,
130,4,2023,2023-10-01,2023-12-31,2730,2687,98.4,0,533,533,309,2378,192350,1.24,4.94,Flat,16.0,9.0
292,4,2023,2023-10-01,2023-12-31,2648,2504,94.6,1648,251,693,255,160,267086,0.06,0.24,House,20.0,
295,4,2023,2023-10-01,2023-12-31,3142,2991,95.2,0,120,257,318,2535,177503,1.43,5.71,House,22.0,
423,4,2023,2023-10-01,2023-12-31,2358,2345,99.5,0,567,288,233,2391,348710,0.69,2.74,Flat,19.0,
165,4,2023,2023-10-01,2023-12-31,2548,2414,94.7,0,203,620,305,1692,336687,0.5,2.01,House,15.0,9.0
403,4,2023,2023-10-01,2023-12-31,1813,1806,99.6,0,368,225,193,1756,305317,0.58,2.3,Flat,18.0,
326,4,2023,2023-10-01,2023-12-31,1892,1748,92.4,0,473,678,202,1341,244425,0.55,2.19,Flat,19.0,
453,4,2023,2023-10-01,2023-12-31,2424,2236,92.2,0,371,576,202,1829,209287,0.87,3.5,Flat,,
461,4,2023,2023-10-01,2023-12-31,2719,2604,95.8,0,173,644,277,1856,333297,0.56,2.23,House,,
13,4,2023,2023-10-01,2023-12-31,2121,1950,91.9,0,596,208,235,2102,194796,1.08,4.32,Flat,17.0,10.0
52,4,2023,2023-10-01,2023-12-31,1845,1671,90.6,0,582,756,221,1276,274345,0.47,1.86,Flat,15.0,9.0
179,4,2023,2023-10-01,2023-12-31,2589,2333,90.1,0,148,377,261,1843,207740,0.89,3.55,House,17.0,10.0
283,4,2023,2023-10-01,2023-12-31,2099,1989,94.7,0,490,645,227,1607,225700,0.71,2.85,Flat,18.0,
255,4,2023,2023-10-01,2023-12-31,2470,2365,95.7,0,550,275,222,2418,161242,1.5,6.0,Flat,22.0,
413,4,2023,2023-10-01,2023-12-31,2616,2559,97.8,0,515,308,210,2556,282295,0.91,3.62,Flat,20.0,
5,4,2023,2023-10-01,2023-12-31,2782,2663,95.7,0,203,310,266,2290,222514,1.03,4.12,House,16.0,9.0
257,4,2023,2023-10-01,2023-12-31,2366,2180,92.1,0,316,606,237,1653,195366,0.85,3.38,Flat,20.0,
449,4,2023,2023-10-01,2023-12-31,3249,3089,95.1,0,128,286,347,2583,184269,1.4,5.61,House,,
430,4,2023,2023-10-01,2023-12-31,2645,2626,99.3,382,499,236,283,2224,331536,0.67,2.68,Flat,,
172,4,2023,2023-10-01,2023-12-31,2756,2567,93.1,0,120,503,258,1926,284041,0.68,2.71,House,2.0,1.0
216,4,2023,2023-10-01,2023-12-31,2350,2299,97.8,0,538,403,210,2224,155638,1.43,5.72,Flat,5.0,3.0
48,4,2023,2023-10-01,2023-12-31,2277,2244,98.5,0,555,477,225,2097,249452,0.84,3.36,Flat,4.0,2.0
328,4,2023,2023-10-01,2023-12-31,2862,2812,98.3,0,178,282,244,2465,191100,1.29,5.16,House,22.0,
28,4,2023,2023-10-01,2023-12-31,2141,2089,97.6,0,430,603,250,1666,165592,1.01,4.02,Flat,12.0,7.0
261,4,2023,2023-10-01,2023-12-31,2440,2225,91.2,0,423,436,233,1979,261949,0.76,3.02,Flat,22.0,
65,4,2023,2023-10-01,2023-12-31,2716,2637,97.1,0,304,604,237,2101,278759,0.75,3.01,Flat,8.0,4.0
301,4,2023,2023-10-01,2023-12-31,2008,2001,99.7,0,0,737,192,1072,328649,0.33,1.3,Block of Flats,21.0,
380,4,2023,2023-10-01,2023-12-31,2211,2210,100.0,0,491,715,209,1777,343078,0.52,2.07,Flat,20.0,
469,4,2023,2023-10-01,2023-12-31,2677,2646,98.9,0,526,559,247,2366,222157,1.07,4.26,Flat,,
404,4,2023,2023-10-01,2023-12-31,1924,1913,99.4,0,321,648,161,1426,278748,0.51,2.05,Flat,18.0,
338,4,2023,2023-10-01,2023-12-31,1983,1875,94.6,0,438,404,163,1746,164113,1.06,4.26,Flat,19.0,
208,4,2023,2023-10-01,2023-12-31,2092,2000,95.6,0,339,211,179,1948,343988,0.57,2.27,Flat,17.0,10.0
489,4,2023,2023-10-01,2023-12-31,2689,2664,99.1,0,0,682,266,1716,217686,0.79,3.15,Block of Flats,,
162,4,2023,2023-10-01,2023-12-31,2471,2302,93.2,0,0,302,277,1724,157458,1.09,4.38,Block of Flats,14.0,9.0
44,4,2023,2023-10-01,2023-12-31,2532,2457,97.0,394,575,419,268,1951,160198,1.22,4.87,Flat,12.0,7.0
402,4,2023,2023-10-01,2023-12-31,3475,3188,91.8,0,278,748,391,2327,245394,0.95,3.79,House,22.0,
310,4,2023,2023-10-01,2023-12-31,1855,1725,93.0,0,597,554,152,1615,237554,0.68,2.72,Flat,22.0,
2,4,2023,2023-10-01,2023-12-31,2275,2225,97.8,0,481,254,192,2261,188503,1.2,4.8,Flat,15.0,9.0
483,4,2023,2023-10-01,2023-12-31,2294,2083,90.8,0,311,262,254,1878,231156,0.81,3.25,Flat,,
50,4,2023,2023-10-01,2023-12-31,2194,2125,96.9,0,371,610,248,1638,169562,0.97,3.86,Flat,4.0,2.0
420,4,2023,2023-10-01,2023-12-31,2751,2576,93.7,0,543,303,328,2488,273518,0.91,3.64,Flat,20.0,
206,4,2023,2023-10-01,2023-12-31,1932,1820,94.2,0,366,280,176,1730,320377,0.54,2.16,Flat,10.0,5.0
264,4,2023,2023-10-01,2023-12-31,2533,2394,94.5,0,386,615,215,1950,322887,0.6,2.42,Flat,22.0,
474,4,2023,2023-10-01,2023-12-31,2744,2553,93.1,0,227,611,288,1881,322979,0.58,2.33,House,,
242,4,2023,2023-10-01,2023-12-31,2599,2526,97.2,0,537,501,300,2262,303372,0.75,2.98,Flat,21.0,
14,4,2023,2023-10-01,2023-12-31,3441,3303,96.0,0,242,636,366,2543,256284,0.99,3.97,House,11.0,6.0
388,4,2023,2023-10-01,2023-12-31,2290,2199,96.0,0,590,284,190,2316,306517,0.76,3.02,Flat,20.0,
167,4,2023,2023-10-01,2023-12-31,3224,3076,95.4,0,170,218,344,2684,323009,0.83,3.32,House,3.0,1.0
320,4,2023,2023-10-01,2023-12-31,2423,2220,91.6,0,365,316,195,2074,347302,0.6,2.39,Flat,20.0,
105,1,2024,2024-01-01,2024-05-30,2100,1955,93.1,0,463,636,251,1531,285163,0.54,2.15,Flat,5.0,3.0
195,1,2024,2024-01-01,2024-05-30,2976,2856,96.0,0,199,516,266,2273,294591,0.77,3.09,House,1.0,1.0
31,1,2024,2024-01-01,2024-05-30,2086,1934,92.7,0,384,374,236,1708,176169,0.97,3.88,Flat,6.0,4.0
317,1,2024,2024-01-01,2024-05-30,2635,2537,96.3,0,441,201,211,2566,237680,1.08,4.32,Flat,20.0,
409,1,2024,2024-01-01,2024-05-30,1966,1914,97.4,0,570,625,233,1626,199643,0.81,3.26,Flat,19.0,
498,1,2024,2024-01-01,2024-05-30,2663,2514,94.4,0,261,372,214,2189,260060,0.84,3.37,House,,
212,1,2024,2024-01-01,2024-05-30,2785,2782,99.9,897,371,609,248,1399,291927,0.48,1.92,Flat,12.0,7.0
335,1,2024,2024-01-01,2024-05-30,2781,2759,99.2,0,175,757,232,1945,165772,1.17,4.69,House,21.0,
486,1,2024,2024-01-01,2024-05-30,1835,1657,90.3,0,350,699,175,1133,272771,0.42,1.66,Flat,,
78,1,2024,2024-01-01,2024-05-30,1838,1689,91.9,0,342,283,156,1592,269604,0.59,2.36,Flat,17.0,10.0
183,1,2024,2024-01-01,2024-05-30,2326,2171,93.3,0,553,621,247,1856,218296,0.85,3.4,Flat,12.0,7.0
56,1,2024,2024-01-01,2024-05-30,2507,2416,96.4,0,401,486,226,2105,152126,1.38,5.53,Flat,3.0,1.0
19,1,2024,2024-01-01,2024-05-30,2105,1932,91.8,0,545,615,204,1658,228033,0.73,2.91,Flat,7.0,4.0
392,1,2024,2024-01-01,2024-05-30,2042,1987,97.3,0,521,662,180,1666,290138,0.57,2.3,Flat,18.0,
353,1,2024,2024-01-01,2024-05-30,1940,1859,95.8,517,494,297,166,1373,213607,0.64,2.57,Flat,22.0,
278,1,2024,2024-01-01,2024-05-30,1938,1802,93.0,0,349,492,212,1447,344289,0.42,1.68,Flat,20.0,
291,1,2024,2024-01-01,2024-05-30,2221,2209,99.4,0,420,502,181,1945,312356,0.62,2.49,Flat,18.0,
318,1,2024,2024-01-01,2024-05-30,2202,2178,98.9,0,411,308,213,2067,289628,0.71,2.85,Flat,19.0,
305,1,2024,2024-01-01,2024-05-30,2154,1945,90.3,0,435,492,193,1695,345379,0.49,1.96,Flat,18.0,
322,1,2024,2024-01-01,2024-05-30,2372,2252,94.9,0,388,723,214,1703,211360,0.81,3.22,Flat,19.0,
415,1,2024,2024-01-01,2024-05-30,2265,2048,90.4,0,434,765,245,1472,332010,0.44,1.77,Flat,20.0,
382,1,2024,2024-01-01,2024-05-30,2330,2291,98.3,0,338,206,255,2169,284950,0.76,3.04,Flat,20.0,
348,1,2024,2024-01-01,2024-05-30,2403,2216,92.2,0,327,750,199,1594,167715,0.95,3.8,Flat,22.0,
16,1,2024,2024-01-01,2024-05-30,2459,2302,93.6,0,533,297,269,2270,304133,0.75,2.99,Flat,8.0,4.0
20,1,2024,2024-01-01,2024-05-30,2034,1869,91.9,0,439,272,173,1863,314207,0.59,2.37,Flat,10.0,5.0
333,1,2024,2024-01-01,2024-05-30,2558,2532,99.0,0,352,486,300,2098,254711,0.82,3.3,Flat,20.0,
57,1,2024,2024-01-01,2024-05-30,2056,1856,90.3,0,600,468,217,1771,212722,0.83,3.33,Flat,7.0,4.0
230,1,2024,2024-01-01,2024-05-30,2763,2664,96.4,737,565,648,240,1605,267406,0.6,2.4,Flat,22.0,
282,1,2024,2024-01-01,2024-05-30,1920,1774,92.4,0,573,476,160,1711,338299,0.51,2.02,Flat,22.0,
221,1,2024,2024-01-01,2024-05-30,1851,1770,95.6,0,491,790,187,1285,228967,0.56,2.24,Flat,7.0,4.0
232,1,2024,2024-01-01,2024-05-30,2102,2028,96.5,0,401,716,235,1478,264459,0.56,2.23,Flat,21.0,
471,1,2024,2024-01-01,2024-05-30,3450,3163,91.7,0,108,633,404,2235,176715,1.26,5.06,House,,
141,1,2024,2024-01-01,2024-05-30,3328,3241,97.4,0,195,368,270,2799,243498,1.15,4.6,House,14.0,9.0
25,1,2024,2024-01-01,2024-05-30,2454,2413,98.3,0,447,274,264,2322,183853,1.26,5.05,Flat,14.0,9.0
209,1,2024,2024-01-01,2024-05-30,2016,1825,90.5,0,472,216,199,1883,200335,0.94,3.76,Flat,4.0,2.0
427,1,2024,2024-01-01,2024-05-30,2476,2345,94.7,0,535,760,236,1883,179817,1.05,4.19,Flat,,
117,1,2024,2024-01-01,2024-05-30,1807,1636,90.6,0,385,370,171,1480,184082,0.8,3.22,Flat,7.0,4.0
46,1,2024,2024-01-01,2024-05-30,2751,2735,99.4,0,553,685,256,2347,253730,0.93,3.7,Flat,11.0,6.0
463,1,2024,2024-01-01,2024-05-30,2217,2046,92.3,0,339,707,236,1442,180256,0.8,3.2,Flat,,
358,1,2024,2024-01-01,2024-05-30,2235,2048,91.6,0,442,374,185,1931,342808,0.56,2.25,Flat,21.0,
319,1,2024,2024-01-01,2024-05-30,2007,1933,96.3,870,0,392,222,449,298962,0.15,0.6,Block of Flats,21.0,
27,1,2024,2024-01-01,2024-05-30,2201,2178,98.9,0,472,537,224,1888,282589,0.67,2.67,Flat,9.0,5.0
8,1,2024,2024-01-01,2024-05-30,2703,2602,96.3,0,130,246,239,2248,314865,0.71,2.86,House,14.0,9.0
455,1,2024,2024-01-01,2024-05-30,3219,3009,93.5,0,236,704,382,2158,157180,1.37,5.49,House,,
142,1,2024,2024-01-01,2024-05-30,2210,2020,91.4,0,0,754,178,1088,219557,0.5,1.98,Block of Flats,14.0,9.0
366,1,2024,2024-01-01,2024-05-30,2610,2577,98.7,0,591,263,214,2691,301933,0.89,3.56,Flat,18.0,
68,1,2024,2024-01-01,2024-05-30,3013,2977,98.8,0,210,533,293,2361,201564,1.17,4.69,House,2.0,1.0
110,1,2024,2024-01-01,2024-05-30,2294,2089,91.1,0,467,375,211,1971,338925,0.58,2.33,Flat,16.0,9.0
249,1,2024,2024-01-01,2024-05-30,3111,2872,92.3,0,184,216,268,2573,152075,1.69,6.77,House,18.0,
