propertyid,budget_year,category,budgeted_amount_gbp,actual_spend_gbp,variance_gbp,variance_percent,property_type,property_age_years,blockid,estateid
478,2022,Compliance Works,114,96,-18,-16.1,Block of Flats,27.0,,
478,2022,Void Works,118,122,3,2.9,Block of Flats,27.0,,
478,2022,Cyclical Decorating,100,99,-1,-1.4,Block of Flats,27.0,,
478,2022,Emergency Repairs,269,314,45,16.9,Block of Flats,27.0,,
478,2022,Major Works,91,75,-16,-17.1,Block of Flats,27.0,,
173,2022,Environmental Works,97,104,7,7.5,Flat,32.0,4.0,2.0
173,2022,Emergency Repairs,269,277,9,3.2,Flat,32.0,4.0,2.0
173,2022,Major Works,133,126,-6,-4.8,Flat,32.0,4.0,2.0
173,2022,Communal Repairs,171,139,-33,-19.1,Flat,32.0,4.0,2.0
322,2022,Major Works,98,84,-14,-14.6,Flat,32.0,19.0,
322,2022,Void Works,244,220,-24,-9.9,Flat,32.0,19.0,
322,2022,Environmental Works,107,89,-18,-16.8,Flat,32.0,19.0,
91,2022,Void Works,169,192,23,13.5,Flat,31.0,10.0,5.0
91,2022,Major Works,96,88,-7,-7.7,Flat,31.0,10.0,5.0
91,2022,Planned Maintenance,171,184,13,7.7,Flat,31.0,10.0,5.0
91,2022,Routine Repairs,305,300,-6,-1.8,Flat,31.0,10.0,5.0
181,2022,Cyclical Decorating,284,296,12,4.4,Block of Flats,31.0,10.0,5.0
181,2022,Emergency Repairs,218,238,20,9.2,Block of Flats,31.0,10.0,5.0
181,2022,Routine Repairs,250,215,-35,-13.8,Block of Flats,31.0,10.0,5.0
181,2022,Void Works,153,147,-6,-3.6,Block of Flats,31.0,10.0,5.0
181,2022,Major Works,176,154,-22,-12.4,Block of Flats,31.0,10.0,5.0
181,2022,Environmental Works,290,321,31,10.7,Block of Flats,31.0,10.0,5.0
415,2022,Environmental Works,225,255,29,13.0,Flat,32.0,20.0,
415,2022,Major Works,102,91,-11,-10.9,Flat,32.0,20.0,
415,2022,Compliance Works,151,170,19,12.8,Flat,32.0,20.0,
415,2022,Planned Maintenance,178,200,22,12.1,Flat,32.0,20.0,
415,2022,Emergency Repairs,204,239,35,16.9,Flat,32.0,20.0,
313,2022,Void Works,188,198,10,5.1,Flat,32.0,21.0,
313,2022,Compliance Works,267,219,-47,-17.7,Flat,32.0,21.0,
313,2022,Communal Repairs,158,160,2,1.0,Flat,32.0,21.0,
313,2022,Environmental Works,137,129,-8,-6.1,Flat,32.0,21.0,
279,2022,Major Works,347,362,14,4.1,Block of Flats,31.0,18.0,
279,2022,Communal Repairs,291,251,-40,-13.7,Block of Flats,31.0,18.0,
279,2022,Cyclical Decorating,169,186,18,10.5,Block of Flats,31.0,18.0,
279,2022,Routine Repairs,276,256,-20,-7.2,Block of Flats,31.0,18.0,
279,2022,Compliance Works,113,98,-15,-13.4,Block of Flats,31.0,18.0,
279,2022,Void Works,306,325,19,6.2,Block of Flats,31.0,18.0,
382,2022,Planned Maintenance,206,180,-26,-12.7,Flat,32.0,20.0,
382,2022,Environmental Works,229,197,-33,-14.2,Flat,32.0,20.0,
382,2022,Compliance Works,103,101,-2,-1.8,Flat,32.0,20.0,
473,2022,Major Works,106,89,-17,-16.0,Flat,27.0,,
473,2022,Planned Maintenance,226,271,45,19.9,Flat,27.0,,
473,2022,Communal Repairs,208,247,39,18.7,Flat,27.0,,
473,2022,Routine Repairs,124,120,-4,-2.9,Flat,27.0,,
363,2022,Planned Maintenance,113,118,6,5.3,Flat,31.0,18.0,
363,2022,Void Works,227,222,-5,-2.1,Flat,31.0,18.0,
363,2022,Communal Repairs,256,260,4,1.4,Flat,31.0,18.0,
363,2022,Major Works,224,260,36,16.1,Flat,31.0,18.0,
363,2022,Compliance Works,183,211,28,15.5,Flat,31.0,18.0,
325,2022,Communal Repairs,281,268,-13,-4.7,Block of Flats,32.0,22.0,
325,2022,Emergency Repairs,375,323,-53,-14.0,Block of Flats,32.0,22.0,
325,2022,Major Works,236,237,2,0.6,Block of Flats,32.0,22.0,
325,2022,Void Works,391,439,49,12.4,Block of Flats,32.0,22.0,
432,2022,Major Works,313,345,32,10.2,Flat,27.0,,
432,2022,Void Works,218,222,4,1.9,Flat,27.0,,
432,2022,Emergency Repairs,87,92,5,5.5,Flat,27.0,,
348,2022,Cyclical Decorating,238,199,-39,-16.3,Flat,32.0,22.0,
348,2022,Communal Repairs,217,188,-28,-13.1,Flat,32.0,22.0,
348,2022,Compliance Works,263,266,3,1.3,Flat,32.0,22.0,
348,2022,Major Works,260,288,28,10.7,Flat,32.0,22.0,
348,2022,Emergency Repairs,107,108,0,0.2,Flat,32.0,22.0,
348,2022,Void Works,263,287,23,8.9,Flat,32.0,22.0,
87,2022,Compliance Works,195,182,-13,-6.5,Flat,32.0,11.0,6.0
87,2022,Routine Repairs,179,178,0,-0.1,Flat,32.0,11.0,6.0
87,2022,Emergency Repairs,114,134,20,17.2,Flat,32.0,11.0,6.0
87,2022,Environmental Works,275,234,-40,-14.7,Flat,32.0,11.0,6.0
87,2022,Cyclical Decorating,227,240,13,5.5,Flat,32.0,11.0,6.0
87,2022,Major Works,111,116,5,4.7,Flat,32.0,11.0,6.0
76,2022,Void Works,183,154,-29,-15.6,House,32.0,2.0,1.0
76,2022,Cyclical Decorating,201,222,21,10.4,House,32.0,2.0,1.0
76,2022,Communal Repairs,121,104,-17,-14.0,House,32.0,2.0,1.0
76,2022,Compliance Works,312,338,26,8.4,House,32.0,2.0,1.0
76,2022,Emergency Repairs,239,247,8,3.3,House,32.0,2.0,1.0
76,2022,Major Works,179,147,-32,-17.7,House,32.0,2.0,1.0
439,2022,Compliance Works,173,202,29,16.7,House,27.0,,
439,2022,Planned Maintenance,331,338,7,2.0,House,27.0,,
439,2022,Communal Repairs,296,351,55,18.6,House,27.0,,
439,2022,Emergency Repairs,369,392,22,6.0,House,27.0,,
439,2022,Void Works,145,117,-28,-19.5,House,27.0,,
16,2022,Planned Maintenance,141,149,8,5.7,Flat,26.0,8.0,4.0
16,2022,Environmental Works,249,266,17,7.0,Flat,26.0,8.0,4.0
16,2022,Cyclical Decorating,322,277,-45,-13.9,Flat,26.0,8.0,4.0
16,2022,Communal Repairs,287,284,-3,-1.1,Flat,26.0,8.0,4.0
16,2022,Routine Repairs,319,327,8,2.6,Flat,26.0,8.0,4.0
307,2023,Compliance Works,201,188,-13,-6.4,House,32.0,18.0,
307,2023,Planned Maintenance,127,148,21,16.9,House,32.0,18.0,
307,2023,Routine Repairs,156,141,-14,-9.2,House,32.0,18.0,
450,2023,Planned Maintenance,246,241,-5,-2.2,Flat,28.0,,
450,2023,Emergency Repairs,83,76,-7,-8.7,Flat,28.0,,
450,2023,Cyclical Decorating,133,114,-20,-14.8,Flat,28.0,,
124,2023,Environmental Works,147,121,-25,-17.4,Flat,30.0,13.0,8.0
124,2023,Void Works,203,176,-27,-13.3,Flat,30.0,13.0,8.0
124,2023,Compliance Works,143,157,14,10.0,Flat,30.0,13.0,8.0
124,2023,Planned Maintenance,197,167,-30,-15.2,Flat,30.0,13.0,8.0
195,2023,Communal Repairs,320,332,12,3.9,House,29.0,1.0,1.0
195,2023,Environmental Works,349,352,4,1.1,House,29.0,1.0,1.0
195,2023,Routine Repairs,308,370,61,19.9,House,29.0,1.0,1.0
195,2023,Planned Maintenance,180,211,32,17.7,House,29.0,1.0,1.0
67,2023,Void Works,479,521,42,8.8,House,33.0,9.0,5.0
67,2023,Environmental Works,313,306,-7,-2.2,House,33.0,9.0,5.0
67,2023,Compliance Works,301,282,-19,-6.2,House,33.0,9.0,5.0
395,2023,Emergency Repairs,323,309,-13,-4.1,Flat,33.0,21.0,
395,2023,Major Works,265,282,17,6.2,Flat,33.0,21.0,
395,2023,Compliance Works,260,234,-26,-9.9,Flat,33.0,21.0,
431,2023,Void Works,346,384,38,10.9,House,28.0,,
431,2023,Emergency Repairs,102,110,8,8.0,House,28.0,,
431,2023,Cyclical Decorating,236,280,44,18.7,House,28.0,,
346,2023,Routine Repairs,423,421,-2,-0.5,House,33.0,21.0,
346,2023,Communal Repairs,405,372,-33,-8.2,House,33.0,21.0,
346,2023,Environmental Works,183,213,30,16.3,House,33.0,21.0,
346,2023,Compliance Works,352,309,-42,-12.0,House,33.0,21.0,
499,2023,Compliance Works,178,208,31,17.3,Flat,28.0,,
499,2023,Environmental Works,158,130,-28,-17.5,Flat,28.0,,
499,2023,Planned Maintenance,234,224,-9,-4.0,Flat,28.0,,
499,2023,Cyclical Decorating,181,165,-16,-8.6,Flat,28.0,,
499,2023,Communal Repairs,322,265,-57,-17.6,Flat,28.0,,
499,2023,Major Works,92,81,-11,-12.1,Flat,28.0,,
238,2023,Major Works,371,307,-63,-17.1,Flat,32.0,18.0,
238,2023,Communal Repairs,142,113,-28,-20.0,Flat,32.0,18.0,
238,2023,Compliance Works,307,365,58,18.9,Flat,32.0,18.0,
320,2023,Environmental Works,264,276,12,4.7,Flat,33.0,20.0,
320,2023,Major Works,168,170,2,0.9,Flat,33.0,20.0,
320,2023,Void Works,216,184,-32,-14.9,Flat,33.0,20.0,
320,2023,Planned Maintenance,89,89,1,0.8,Flat,33.0,20.0,
320,2023,Emergency Repairs,227,233,6,2.5,Flat,33.0,20.0,
320,2023,Cyclical Decorating,252,271,19,7.7,Flat,33.0,20.0,
68,2023,Cyclical Decorating,182,201,19,10.7,House,33.0,2.0,1.0
68,2023,Compliance Works,282,304,21,7.6,House,33.0,2.0,1.0
68,2023,Void Works,297,345,47,16.0,House,33.0,2.0,1.0
180,2023,Environmental Works,285,321,37,12.9,House,32.0,6.0,4.0
180,2023,Routine Repairs,297,354,56,18.9,House,32.0,6.0,4.0
180,2023,Emergency Repairs,234,229,-5,-1.9,House,32.0,6.0,4.0
180,2023,Planned Maintenance,122,145,23,18.8,House,32.0,6.0,4.0
180,2023,Void Works,262,307,45,17.4,House,32.0,6.0,4.0
180,2023,Major Works,280,331,51,18.4,House,32.0,6.0,4.0
473,2023,Communal Repairs,139,156,16,11.8,Flat,28.0,,
473,2023,Void Works,99,104,5,5.2,Flat,28.0,,
473,2023,Major Works,79,86,6,8.2,Flat,28.0,,
495,2023,Compliance Works,129,118,-10,-8.1,Flat,28.0,,
495,2023,Communal Repairs,84,86,1,1.6,Flat,28.0,,
495,2023,Major Works,317,338,20,6.5,Flat,28.0,,
495,2023,Emergency Repairs,105,109,4,3.6,Flat,28.0,,
495,2023,Planned Maintenance,116,126,10,9.0,Flat,28.0,,
469,2023,Environmental Works,135,141,6,4.5,Flat,28.0,,
469,2023,Compliance Works,82,95,12,15.1,Flat,28.0,,
469,2023,Emergency Repairs,222,200,-22,-10.0,Flat,28.0,,
469,2023,Planned Maintenance,141,132,-9,-6.2,Flat,28.0,,
469,2023,Void Works,261,253,-8,-3.1,Flat,28.0,,
469,2023,Communal Repairs,119,141,22,18.5,Flat,28.0,,
77,2023,Major Works,233,274,41,17.6,Flat,33.0,11.0,6.0
77,2023,Compliance Works,194,166,-28,-14.3,Flat,33.0,11.0,6.0
77,2023,Void Works,217,240,23,10.7,Flat,33.0,11.0,6.0
485,2023,Environmental Works,385,351,-35,-9.0,House,28.0,,
485,2023,Routine Repairs,251,233,-18,-7.1,House,28.0,,
485,2023,Major Works,233,244,11,4.9,House,28.0,,
485,2023,Emergency Repairs,410,450,41,9.9,House,28.0,,
485,2023,Void Works,318,287,-32,-9.9,House,28.0,,
485,2023,Planned Maintenance,229,207,-23,-9.9,House,28.0,,
313,2023,Cyclical Decorating,266,247,-19,-7.0,Flat,33.0,21.0,
313,2023,Void Works,176,151,-25,-14.3,Flat,33.0,21.0,
313,2023,Routine Repairs,112,93,-19,-17.2,Flat,33.0,21.0,
297,2023,Routine Repairs,226,264,38,16.7,House,33.0,20.0,
297,2023,Environmental Works,141,145,4,2.9,House,33.0,20.0,
297,2023,Cyclical Decorating,134,137,3,1.9,House,33.0,20.0,
297,2023,Void Works,487,449,-38,-7.8,House,33.0,20.0,
297,2023,Compliance Works,204,243,38,18.7,House,33.0,20.0,
131,2023,Routine Repairs,316,275,-41,-13.0,Block of Flats,32.0,10.0,5.0
131,2023,Void Works,212,190,-22,-10.5,Block of Flats,32.0,10.0,5.0
131,2023,Environmental Works,173,190,17,9.9,Block of Flats,32.0,10.0,5.0
131,2023,Compliance Works,304,339,35,11.6,Block of Flats,32.0,10.0,5.0
131,2023,Emergency Repairs,303,260,-42,-14.0,Block of Flats,32.0,10.0,5.0
131,2023,Communal Repairs,148,141,-7,-4.6,Block of Flats,32.0,10.0,5.0
356,2023,Communal Repairs,285,338,53,18.6,Flat,33.0,20.0,
356,2023,Cyclical Decorating,107,107,0,-0.4,Flat,33.0,20.0,
356,2023,Void Works,338,383,46,13.5,Flat,33.0,20.0,
356,2023,Planned Maintenance,151,175,25,16.3,Flat,33.0,20.0,
155,2023,Void Works,316,292,-24,-7.5,House,30.0,3.0,1.0
155,2023,Major Works,250,238,-13,-5.0,House,30.0,3.0,1.0
155,2023,Planned Maintenance,107,87,-20,-19.1,House,30.0,3.0,1.0
155,2023,Emergency Repairs,240,213,-26,-11.0,House,30.0,3.0,1.0
155,2023,Compliance Works,245,212,-32,-13.2,House,30.0,3.0,1.0
155,2023,Routine Repairs,188,173,-14,-7.7,House,30.0,3.0,1.0
125,2023,Routine Repairs,103,114,12,11.3,Block of Flats,31.0,5.0,3.0
125,2023,Planned Maintenance,328,287,-41,-12.5,Block of Flats,31.0,5.0,3.0
125,2023,Environmental Works,161,192,31,19.4,Block of Flats,31.0,5.0,3.0
189,2023,Routine Repairs,207,227,19,9.4,Flat,33.0,11.0,6.0
189,2023,Planned Maintenance,125,110,-15,-12.0,Flat,33.0,11.0,6.0
189,2023,Void Works,226,192,-33,-14.7,Flat,33.0,11.0,6.0
189,2023,Communal Repairs,201,170,-32,-15.8,Flat,33.0,11.0,6.0
189,2023,Cyclical Decorating,192,183,-9,-4.5,Flat,33.0,11.0,6.0
175,2023,Emergency Repairs,153,156,3,2.0,Flat,31.0,5.0,3.0
175,2023,Major Works,282,278,-3,-1.1,Flat,31.0,5.0,3.0
175,2023,Environmental Works,244,258,14,5.8,Flat,31.0,5.0,3.0
175,2023,Void Works,200,212,12,5.8,Flat,31.0,5.0,3.0
175,2023,Communal Repairs,248,275,27,11.0,Flat,31.0,5.0,3.0
175,2023,Cyclical Decorating,126,104,-22,-17.4,Flat,31.0,5.0,3.0
362,2023,Void Works,273,234,-40,-14.6,House,33.0,21.0,
362,2023,Compliance Works,258,305,47,18.3,House,33.0,21.0,
362,2023,Cyclical Decorating,343,331,-13,-3.7,House,33.0,21.0,
362,2023,Communal Repairs,363,314,-49,-13.5,House,33.0,21.0,
362,2023,Routine Repairs,261,249,-12,-4.7,House,33.0,21.0,
358,2023,Void Works,217,179,-38,-17.7,Flat,33.0,21.0,
358,2023,Major Works,228,186,-42,-18.4,Flat,33.0,21.0,
358,2023,Routine Repairs,257,208,-49,-19.0,Flat,33.0,21.0,
358,2023,Communal Repairs,128,131,3,2.4,Flat,33.0,21.0,
358,2023,Cyclical Decorating,252,253,1,0.4,Flat,33.0,21.0,
358,2023,Planned Maintenance,138,121,-17,-12.1,Flat,33.0,21.0,
412,2023,Environmental Works,333,368,35,10.6,Flat,33.0,22.0,
412,2023,Emergency Repairs,120,116,-4,-3.6,Flat,33.0,22.0,
412,2023,Planned Maintenance,239,199,-40,-16.6,Flat,33.0,22.0,
412,2023,Cyclical Decorating,150,128,-21,-14.3,Flat,33.0,22.0,
412,2023,Compliance Works,158,157,0,-0.2,Flat,33.0,22.0,
412,2023,Routine Repairs,174,150,-23,-13.4,Flat,33.0,22.0,
460,2023,Cyclical Decorating,273,323,50,18.3,Flat,28.0,,
460,2023,Void Works,286,340,55,19.1,Flat,28.0,,
460,2023,Emergency Repairs,220,261,41,18.4,Flat,28.0,,
460,2023,Environmental Works,84,99,15,17.9,Flat,28.0,,
460,2023,Compliance Works,174,178,4,2.1,Flat,28.0,,
24,2023,Emergency Repairs,102,116,15,14.6,Flat,33.0,17.0,10.0
24,2023,Planned Maintenance,170,167,-3,-1.9,Flat,33.0,17.0,10.0
24,2023,Void Works,154,181,27,17.3,Flat,33.0,17.0,10.0
24,2023,Cyclical Decorating,105,117,12,11.0,Flat,33.0,17.0,10.0
24,2023,Environmental Works,243,232,-11,-4.6,Flat,33.0,17.0,10.0
31,2023,Emergency Repairs,300,286,-14,-4.6,Flat,32.0,6.0,4.0
31,2023,Void Works,104,88,-17,-16.0,Flat,32.0,6.0,4.0
31,2023,Major Works,143,165,22,15.7,Flat,32.0,6.0,4.0
266,2023,Planned Maintenance,278,234,-44,-15.9,Flat,33.0,22.0,
266,2023,Emergency Repairs,339,320,-19,-5.7,Flat,33.0,22.0,
266,2023,Communal Repairs,205,197,-8,-4.1,Flat,33.0,22.0,
266,2023,Cyclical Decorating,144,117,-27,-19.0,Flat,33.0,22.0,
263,2023,Cyclical Decorating,251,244,-8,-3.1,House,33.0,19.0,
263,2023,Compliance Works,367,423,56,15.3,House,33.0,19.0,
263,2023,Planned Maintenance,433,391,-42,-9.6,House,33.0,19.0,
263,2023,Void Works,293,332,39,13.4,House,33.0,19.0,
263,2023,Communal Repairs,439,373,-66,-15.0,House,33.0,19.0,
263,2023,Environmental Works,475,525,50,10.5,House,33.0,19.0,
354,2023,Void Works,96,80,-17,-17.5,Flat,33.0,22.0,
354,2023,Environmental Works,229,233,4,1.8,Flat,33.0,22.0,
354,2023,Cyclical Decorating,178,163,-15,-8.3,Flat,33.0,22.0,
207,2023,Cyclical Decorating,230,223,-7,-3.0,Block of Flats,33.0,11.0,6.0
207,2023,Compliance Works,121,117,-4,-3.3,Block of Flats,33.0,11.0,6.0
207,2023,Communal Repairs,361,334,-26,-7.3,Block of Flats,33.0,11.0,6.0
89,2023,Planned Maintenance,307,368,61,19.7,Flat,33.0,17.0,10.0
89,2023,Communal Repairs,176,204,29,16.3,Flat,33.0,17.0,10.0
89,2023,Compliance Works,317,321,4,1.2,Flat,33.0,17.0,10.0
89,2023,Emergency Repairs,314,348,34,10.7,Flat,33.0,17.0,10.0
89,2023,Environmental Works,110,128,18,16.1,Flat,33.0,17.0,10.0
295,2023,Planned Maintenance,224,229,5,2.1,House,33.0,22.0,
295,2023,Routine Repairs,202,172,-31,-15.2,House,33.0,22.0,
295,2023,Cyclical Decorating,155,163,8,5.0,House,33.0,22.0,
128,2023,Cyclical Decorating,248,272,24,9.8,Block of Flats,32.0,6.0,4.0
128,2023,Environmental Works,284,255,-28,-10.0,Block of Flats,32.0,6.0,4.0
128,2023,Emergency Repairs,105,113,8,7.8,Block of Flats,32.0,6.0,4.0
199,2023,Major Works,65,61,-4,-6.3,Flat,29.0,1.0,1.0
199,2023,Cyclical Decorating,196,178,-18,-9.4,Flat,29.0,1.0,1.0
199,2023,Emergency Repairs,80,72,-8,-10.0,Flat,29.0,1.0,1.0
199,2023,Planned Maintenance,166,182,17,10.0,Flat,29.0,1.0,1.0
255,2023,Communal Repairs,325,385,59,18.3,Flat,33.0,22.0,
255,2023,Emergency Repairs,324,347,24,7.3,Flat,33.0,22.0,
255,2023,Environmental Works,241,207,-34,-14.0,Flat,33.0,22.0,
232,2023,Environmental Works,282,301,19,6.6,Flat,33.0,21.0,
232,2023,Major Works,166,191,25,15.3,Flat,33.0,21.0,
232,2023,Emergency Repairs,144,148,3,2.4,Flat,33.0,21.0,
121,2023,Emergency Repairs,105,112,6,6.0,Block of Flats,33.0,2.0,1.0
121,2023,Routine Repairs,119,106,-13,-11.2,Block of Flats,33.0,2.0,1.0
121,2023,Communal Repairs,143,169,26,18.2,Block of Flats,33.0,2.0,1.0
244,2023,Major Works,320,377,57,17.9,House,33.0,19.0,
244,2023,Planned Maintenance,184,216,31,16.9,House,33.0,19.0,
244,2023,Cyclical Decorating,206,180,-26,-12.5,House,33.0,19.0,
439,2023,Compliance Works,448,518,71,15.7,House,28.0,,
439,2023,Communal Repairs,319,313,-7,-2.1,House,28.0,,
439,2023,Environmental Works,376,388,12,3.3,House,28.0,,
439,2023,Emergency Repairs,281,243,-38,-13.6,House,28.0,,
439,2023,Planned Maintenance,208,236,28,13.6,House,28.0,,
439,2023,Major Works,278,256,-22,-8.0,House,28.0,,
424,2023,Major Works,299,326,27,8.9,Flat,33.0,22.0,
424,2023,Planned Maintenance,327,288,-38,-11.7,Flat,33.0,22.0,
424,2023,Emergency Repairs,333,393,60,18.2,Flat,33.0,22.0,
424,2023,Environmental Works,269,290,21,7.8,Flat,33.0,22.0,
424,2023,Compliance Works,329,376,47,14.1,Flat,33.0,22.0,
424,2023,Routine Repairs,200,177,-22,-11.2,Flat,33.0,22.0,
438,2023,Emergency Repairs,155,145,-10,-6.6,Flat,28.0,,
438,2023,Routine Repairs,296,244,-52,-17.6,Flat,28.0,,
438,2023,Communal Repairs,315,326,12,3.7,Flat,28.0,,
438,2023,Cyclical Decorating,133,133,-1,-0.6,Flat,28.0,,
108,2023,Routine Repairs,119,99,-21,-17.3,Flat,33.0,11.0,6.0
108,2023,Environmental Works,188,211,24,12.5,Flat,33.0,11.0,6.0
108,2023,Void Works,251,286,35,14.0,Flat,33.0,11.0,6.0
108,2023,Compliance Works,271,315,44,16.2,Flat,33.0,11.0,6.0
108,2023,Cyclical Decorating,226,248,22,9.7,Flat,33.0,11.0,6.0
108,2023,Communal Repairs,223,191,-32,-14.4,Flat,33.0,11.0,6.0
374,2023,Cyclical Decorating,209,183,-26,-12.5,Block of Flats,33.0,19.0,
374,2023,Emergency Repairs,248,293,44,17.9,Block of Flats,33.0,19.0,
374,2023,Major Works,263,269,6,2.2,Block of Flats,33.0,19.0,
374,2023,Planned Maintenance,420,418,-3,-0.6,Block of Flats,33.0,19.0,
374,2023,Compliance Works,402,463,61,15.2,Block of Flats,33.0,19.0,
374,2023,Communal Repairs,322,331,9,2.9,Block of Flats,33.0,19.0,
329,2023,Planned Maintenance,160,182,21,13.2,Flat,33.0,19.0,
329,2023,Void Works,316,335,19,5.9,Flat,33.0,19.0,
329,2023,Emergency Repairs,276,225,-51,-18.6,Flat,33.0,19.0,
329,2023,Compliance Works,168,149,-19,-11.2,Flat,33.0,19.0,
329,2023,Routine Repairs,174,197,22,12.9,Flat,33.0,19.0,
329,2023,Environmental Works,191,223,32,16.8,Flat,33.0,19.0,
127,2023,Planned Maintenance,84,98,14,16.6,Flat,33.0,4.0,2.0
127,2023,Communal Repairs,249,287,38,15.2,Flat,33.0,4.0,2.0
127,2023,Void Works,260,253,-7,-2.6,Flat,33.0,4.0,2.0
127,2023,Emergency Repairs,166,185,19,11.1,Flat,33.0,4.0,2.0
127,2023,Environmental Works,255,285,30,12.0,Flat,33.0,4.0,2.0
497,2023,Major Works,208,209,1,0.6,House,28.0,,
497,2023,Void Works,95,83,-12,-12.2,House,28.0,,
497,2023,Emergency Repairs,148,164,16,10.8,House,28.0,,
497,2023,Cyclical Decorating,226,229,3,1.2,House,28.0,,
497,2023,Communal Repairs,222,182,-40,-18.1,House,28.0,,
497,2023,Compliance Works,221,216,-5,-2.2,House,28.0,,
40,2023,Emergency Repairs,247,212,-35,-14.2,Flat,31.0,5.0,3.0
40,2023,Cyclical Decorating,210,198,-12,-5.5,Flat,31.0,5.0,3.0
40,2023,Compliance Works,171,176,5,3.1,Flat,31.0,5.0,3.0
40,2023,Void Works,339,342,3,1.0,Flat,31.0,5.0,3.0
399,2023,Communal Repairs,113,100,-13,-11.8,Flat,32.0,18.0,
399,2023,Void Works,174,158,-16,-9.1,Flat,32.0,18.0,
399,2023,Routine Repairs,157,146,-11,-7.0,Flat,32.0,18.0,
399,2023,Compliance Works,307,328,21,6.9,Flat,32.0,18.0,
315,2023,Compliance Works,91,102,11,12.5,Flat,33.0,22.0,
315,2023,Communal Repairs,279,231,-48,-17.1,Flat,33.0,22.0,
315,2023,Environmental Works,255,290,35,13.7,Flat,33.0,22.0,
315,2023,Major Works,196,203,8,3.9,Flat,33.0,22.0,
120,2023,Communal Repairs,246,232,-13,-5.4,House,33.0,7.0,4.0
120,2023,Environmental Works,355,284,-71,-19.9,House,33.0,7.0,4.0
120,2023,Void Works,171,204,33,19.3,House,33.0,7.0,4.0
120,2023,Emergency Repairs,222,261,39,17.6,House,33.0,7.0,4.0
234,2023,Planned Maintenance,103,116,13,12.9,Flat,33.0,20.0,
234,2023,Compliance Works,258,226,-32,-12.3,Flat,33.0,20.0,
234,2023,Major Works,246,274,28,11.2,Flat,33.0,20.0,
234,2023,Routine Repairs,105,106,1,1.3,Flat,33.0,20.0,
234,2023,Environmental Works,277,249,-28,-10.3,Flat,33.0,20.0,
60,2023,Void Works,294,272,-21,-7.3,Flat,30.0,15.0,9.0
60,2023,Compliance Works,110,128,18,15.9,Flat,30.0,15.0,9.0
60,2023,Major Works,221,178,-43,-19.6,Flat,30.0,15.0,9.0
60,2023,Emergency Repairs,111,115,4,3.9,Flat,30.0,15.0,9.0
60,2023,Cyclical Decorating,216,232,16,7.2,Flat,30.0,15.0,9.0
60,2023,Environmental Works,138,117,-21,-15.0,Flat,30.0,15.0,9.0
225,2023,Major Works,102,93,-9,-8.8,Flat,30.0,15.0,9.0
225,2023,Emergency Repairs,105,91,-14,-13.1,Flat,30.0,15.0,9.0
225,2023,Void Works,130,109,-22,-16.6,Flat,30.0,15.0,9.0
225,2023,Communal Repairs,205,190,-14,-7.0,Flat,30.0,15.0,9.0
225,2023,Compliance Works,94,79,-15,-16.3,Flat,30.0,15.0,9.0
159,2023,Communal Repairs,307,366,59,19.2,Flat,33.0,9.0,5.0
159,2023,Compliance Works,267,260,-6,-2.4,Flat,33.0,9.0,5.0
159,2023,Planned Maintenance,120,126,6,4.9,Flat,33.0,9.0,5.0
159,2023,Major Works,360,347,-13,-3.6,Flat,33.0,9.0,5.0
97,2023,Planned Maintenance,241,246,4,1.7,Flat,31.0,5.0,3.0
97,2023,Emergency Repairs,321,266,-55,-17.2,Flat,31.0,5.0,3.0
97,2023,Environmental Works,343,289,-55,-15.9,Flat,31.0,5.0,3.0
116,2023,Major Works,180,179,-1,-0.4,House,32.0,10.0,5.0
116,2023,Environmental Works,379,325,-54,-14.2,House,32.0,10.0,5.0
116,2023,Void Works,379,453,74,19.5,House,32.0,10.0,5.0
116,2023,Planned Maintenance,128,111,-18,-13.7,House,32.0,10.0,5.0
334,2023,Environmental Works,185,157,-28,-15.1,Flat,33.0,19.0,
334,2023,Major Works,226,208,-18,-8.1,Flat,33.0,19.0,
334,2023,Cyclical Decorating,106,105,-1,-1.1,Flat,33.0,19.0,
334,2023,Routine Repairs,70,57,-13,-18.0,Flat,33.0,19.0,
496,2023,Planned Maintenance,192,154,-37,-19.5,House,28.0,,
496,2023,Emergency Repairs,397,461,64,16.1,House,28.0,,
496,2023,Void Works,403,385,-18,-4.4,House,28.0,,
496,2023,Compliance Works,178,162,-16,-8.8,House,28.0,,
496,2023,Environmental Works,370,370,0,-0.1,House,28.0,,
496,2023,Routine Repairs,114,124,10,8.8,House,28.0,,
261,2023,Void Works,132,142,10,7.8,Flat,33.0,22.0,
261,2023,Emergency Repairs,111,91,-21,-18.4,Flat,33.0,22.0,
261,2023,Communal Repairs,195,224,29,14.9,Flat,33.0,22.0,
261,2023,Major Works,235,211,-23,-10.0,Flat,33.0,22.0,
261,2023,Routine Repairs,118,132,14,12.2,Flat,33.0,22.0,
274,2023,Compliance Works,282,240,-42,-14.9,Flat,33.0,20.0,
274,2023,Planned Maintenance,117,94,-23,-19.6,Flat,33.0,20.0,
274,2023,Void Works,339,282,-58,-17.0,Flat,33.0,20.0,
274,2023,Communal Repairs,192,179,-13,-6.6,Flat,33.0,20.0,
274,2023,Emergency Repairs,148,136,-12,-8.2,Flat,33.0,20.0,
416,2023,Void Works,305,295,-10,-3.3,House,33.0,21.0,
