propertyid,valuation_date,property_value_gbp,valuation_method,valuer,estimated_monthly_rent_gbp,rental_yield_percent,property_type,property_age_years,bedrooms,estateid,blockid,year
77,2025-04-28,428000,Automated Valuation Model,Independent Surveyor,1794,5.03,Flat,35.0,4,6.0,11.0,2025
78,2020-04-29,166000,Automated Valuation Model,Bryant LLC Valuations,578,4.18,Flat,30.0,3,10.0,17.0,2020
78,2021-04-29,175000,On-site Professional Valuation,Independent Surveyor,654,4.48,Flat,31.0,3,10.0,17.0,2021
78,2022-04-29,180000,On-site Professional Valuation,Automated System,684,4.56,Flat,32.0,3,10.0,17.0,2022
78,2023-04-29,188000,Comparative Market Analysis,Automated System,629,4.02,Flat,33.0,3,10.0,17.0,2023
78,2024-04-28,195000,Cost Approach,Automated System,736,4.53,Flat,34.0,3,10.0,17.0,2024
78,2025-04-28,205000,On-site Professional Valuation,"Ross, Yates and Ward Valuations",820,4.8,Flat,35.0,3,10.0,17.0,2025
79,2020-04-29,287000,Comparative Market Analysis,Automated System,1221,5.11,Flat,29.0,2,9.0,16.0,2020
79,2021-04-29,303000,Cost Approach,Bentley Ltd Valuations,1396,5.53,Flat,30.0,2,9.0,16.0,2021
79,2022-04-29,322000,Comparative Market Analysis,Automated System,1137,4.24,Flat,31.0,2,9.0,16.0,2022
79,2023-04-29,338000,On-site Professional Valuation,Independent Surveyor,1683,5.97,Flat,32.0,2,9.0,16.0,2023
79,2024-04-28,361000,On-site Professional Valuation,Automated System,1323,4.4,Flat,33.0,2,9.0,16.0,2024
79,2025-04-28,381000,Income Capitalization,Independent Surveyor,1299,4.09,Flat,34.0,2,9.0,16.0,2025
80,2020-04-29,323000,Income Capitalization,Griffin-Davies Valuations,1356,5.04,Flat,30.0,4,5.0,9.0,2020
80,2021-04-29,347000,On-site Professional Valuation,Independent Surveyor,1238,4.28,Flat,31.0,4,5.0,9.0,2021
80,2022-04-29,360000,Cost Approach,"Wright, George and Martin Valuations",1794,5.98,Flat,32.0,4,5.0,9.0,2022
80,2023-04-29,377000,On-site Professional Valuation,Automated System,1777,5.66,Flat,33.0,4,5.0,9.0,2023
80,2024-04-28,402000,Comparative Market Analysis,Independent Surveyor,1541,4.6,Flat,34.0,4,5.0,9.0,2024
80,2025-04-28,421000,Automated Valuation Model,"Hussain, Wright and Perkins Valuations",1480,4.22,Flat,35.0,4,5.0,9.0,2025
81,2020-04-29,118000,Comparative Market Analysis,Fletcher-Morris Valuations,570,5.8,Flat,30.0,1,10.0,17.0,2020
81,2021-04-29,124000,On-site Professional Valuation,"Haynes, Craig and Cook Valuations",613,5.93,Flat,31.0,1,10.0,17.0,2021
81,2022-04-29,129000,Automated Valuation Model,RICS Registered Valuer,441,4.1,Flat,32.0,1,10.0,17.0,2022
81,2023-04-29,137000,Automated Valuation Model,RICS Registered Valuer,621,5.44,Flat,33.0,1,10.0,17.0,2023
81,2024-04-28,146000,On-site Professional Valuation,Internal Valuation Team,546,4.48,Flat,34.0,1,10.0,17.0,2024
81,2025-04-28,152000,Automated Valuation Model,RICS Registered Valuer,618,4.88,Flat,35.0,1,10.0,17.0,2025
82,2020-04-29,264000,On-site Professional Valuation,"Rhodes, Harvey and Perry Valuations",970,4.41,Flat,30.0,3,5.0,9.0,2020
82,2021-04-29,284000,Comparative Market Analysis,RICS Registered Valuer,1360,5.75,Flat,31.0,3,5.0,9.0,2021
82,2022-04-29,300000,Automated Valuation Model,Adams LLC Valuations,1280,5.12,Flat,32.0,3,5.0,9.0,2022
82,2023-04-29,315000,Automated Valuation Model,Walton and Sons Valuations,1552,5.91,Flat,33.0,3,5.0,9.0,2023
82,2024-04-28,329000,Cost Approach,Johnson LLC Valuations,1291,4.71,Flat,34.0,3,5.0,9.0,2024
82,2025-04-28,347000,Cost Approach,"Jackson, Moore and Johnson Valuations",1710,5.91,Flat,35.0,3,5.0,9.0,2025
83,2020-04-29,457000,Cost Approach,Independent Surveyor,2240,5.88,House,28.0,2,9.0,14.0,2020
83,2021-04-29,487000,Automated Valuation Model,Independent Surveyor,2184,5.38,House,29.0,2,9.0,14.0,2021
83,2022-04-29,513000,Cost Approach,Independent Surveyor,2189,5.12,House,30.0,2,9.0,14.0,2022
83,2023-04-29,532000,Automated Valuation Model,Automated System,2373,5.35,House,31.0,2,9.0,14.0,2023
83,2024-04-28,569000,Income Capitalization,Independent Surveyor,2802,5.91,House,32.0,2,9.0,14.0,2024
83,2025-04-28,588000,Comparative Market Analysis,Independent Surveyor,2896,5.91,House,33.0,2,9.0,14.0,2025
84,2020-04-29,305000,Automated Valuation Model,RICS Registered Valuer,1350,5.31,Flat,29.0,4,4.0,6.0,2020
84,2021-04-29,317000,On-site Professional Valuation,Independent Surveyor,1341,5.08,Flat,30.0,4,4.0,6.0,2021
84,2022-04-29,329000,On-site Professional Valuation,RICS Registered Valuer,1434,5.23,Flat,31.0,4,4.0,6.0,2022
84,2023-04-29,343000,On-site Professional Valuation,RICS Registered Valuer,1526,5.34,Flat,32.0,4,4.0,6.0,2023
84,2024-04-28,364000,Automated Valuation Model,Independent Surveyor,1245,4.1,Flat,33.0,4,4.0,6.0,2024
84,2025-04-28,388000,Income Capitalization,Internal Valuation Team,1358,4.2,Flat,34.0,4,4.0,6.0,2025
85,2020-04-29,332000,Income Capitalization,Automated System,1648,5.96,Flat,30.0,4,5.0,9.0,2020
85,2021-04-29,353000,Automated Valuation Model,Automated System,1695,5.76,Flat,31.0,4,5.0,9.0,2021
85,2022-04-29,375000,Cost Approach,Independent Surveyor,1722,5.51,Flat,32.0,4,5.0,9.0,2022
85,2023-04-29,391000,Comparative Market Analysis,Taylor Inc Valuations,1342,4.12,Flat,33.0,4,5.0,9.0,2023
85,2024-04-28,408000,Comparative Market Analysis,RICS Registered Valuer,1862,5.48,Flat,34.0,4,5.0,9.0,2024
85,2025-04-28,428000,Comparative Market Analysis,Automated System,2024,5.68,Flat,35.0,4,5.0,9.0,2025
86,2020-04-29,198000,Cost Approach,Internal Valuation Team,721,4.37,Flat,30.0,4,10.0,17.0,2020
86,2021-04-29,204000,Comparative Market Analysis,Independent Surveyor,873,5.14,Flat,31.0,4,10.0,17.0,2021
86,2022-04-29,213000,On-site Professional Valuation,Owen-Price Valuations,1061,5.98,Flat,32.0,4,10.0,17.0,2022
86,2023-04-29,225000,On-site Professional Valuation,Automated System,1102,5.88,Flat,33.0,4,10.0,17.0,2023
86,2024-04-28,235000,Cost Approach,RICS Registered Valuer,1100,5.62,Flat,34.0,4,10.0,17.0,2024
86,2025-04-28,250000,Income Capitalization,Internal Valuation Team,1103,5.3,Flat,35.0,4,10.0,17.0,2025
87,2020-04-29,304000,On-site Professional Valuation,RICS Registered Valuer,1414,5.58,Flat,30.0,3,6.0,11.0,2020
87,2021-04-29,316000,Automated Valuation Model,Automated System,1504,5.71,Flat,31.0,3,6.0,11.0,2021
87,2022-04-29,333000,Comparative Market Analysis,RICS Registered Valuer,1158,4.17,Flat,32.0,3,6.0,11.0,2022
87,2023-04-29,360000,Income Capitalization,Internal Valuation Team,1486,4.95,Flat,33.0,3,6.0,11.0,2023
87,2024-04-28,375000,Cost Approach,Independent Surveyor,1397,4.47,Flat,34.0,3,6.0,11.0,2024
87,2025-04-28,392000,Comparative Market Analysis,Independent Surveyor,1779,5.45,Flat,35.0,3,6.0,11.0,2025
88,2020-04-29,142000,Comparative Market Analysis,Internal Valuation Team,637,5.39,Flat,27.0,1,1.0,3.0,2020
88,2021-04-29,150000,On-site Professional Valuation,Independent Surveyor,540,4.32,Flat,28.0,1,1.0,3.0,2021
88,2022-04-29,159000,Cost Approach,Independent Surveyor,699,5.28,Flat,29.0,1,1.0,3.0,2022
88,2023-04-29,169000,Income Capitalization,Automated System,625,4.44,Flat,30.0,1,1.0,3.0,2023
88,2024-04-28,175000,On-site Professional Valuation,Independent Surveyor,801,5.5,Flat,31.0,1,1.0,3.0,2024
88,2025-04-28,184000,Automated Valuation Model,Thornton-Johnson Valuations,782,5.1,Flat,32.0,1,1.0,3.0,2025
89,2020-04-29,130000,Income Capitalization,Perry LLC Valuations,612,5.65,Flat,30.0,1,10.0,17.0,2020
89,2021-04-29,140000,Automated Valuation Model,Lewis-Cole Valuations,486,4.16,Flat,31.0,1,10.0,17.0,2021
89,2022-04-29,149000,On-site Professional Valuation,Internal Valuation Team,516,4.16,Flat,32.0,1,10.0,17.0,2022
89,2023-04-29,154000,On-site Professional Valuation,RICS Registered Valuer,654,5.1,Flat,33.0,1,10.0,17.0,2023
89,2024-04-28,163000,Cost Approach,Williams and Sons Valuations,584,4.3,Flat,34.0,1,10.0,17.0,2024
89,2025-04-28,171000,On-site Professional Valuation,Automated System,764,5.36,Flat,35.0,1,10.0,17.0,2025
90,2020-04-29,220000,Comparative Market Analysis,Automated System,920,5.02,Block of Flats,24.0,2,4.0,8.0,2020
90,2021-04-29,228000,On-site Professional Valuation,Internal Valuation Team,918,4.83,Block of Flats,25.0,2,4.0,8.0,2021
90,2022-04-29,241000,Cost Approach,Internal Valuation Team,1074,5.35,Block of Flats,26.0,2,4.0,8.0,2022
90,2023-04-29,253000,Income Capitalization,"Brennan, May and Khan Valuations",1188,5.63,Block of Flats,27.0,2,4.0,8.0,2023
90,2024-04-28,262000,Comparative Market Analysis,Hutchinson Group Valuations,1058,4.85,Block of Flats,28.0,2,4.0,8.0,2024
90,2025-04-28,283000,Comparative Market Analysis,Automated System,1384,5.87,Block of Flats,29.0,2,4.0,8.0,2025
91,2020-04-29,212000,Income Capitalization,Automated System,851,4.82,Flat,29.0,2,5.0,10.0,2020
91,2021-04-29,222000,Automated Valuation Model,Automated System,1070,5.78,Flat,30.0,2,5.0,10.0,2021
91,2022-04-29,233000,On-site Professional Valuation,RICS Registered Valuer,1042,5.37,Flat,31.0,2,5.0,10.0,2022
91,2023-04-29,248000,Income Capitalization,"Myers, Lee and Butcher Valuations",970,4.7,Flat,32.0,2,5.0,10.0,2023
91,2024-04-28,260000,Income Capitalization,Internal Valuation Team,922,4.25,Flat,33.0,2,5.0,10.0,2024
91,2025-04-28,278000,Automated Valuation Model,Holt-Cartwright Valuations,1380,5.96,Flat,34.0,2,5.0,10.0,2025
92,2020-04-29,375000,Income Capitalization,RICS Registered Valuer,1487,4.76,House,27.0,1,8.0,13.0,2020
92,2021-04-29,395000,Income Capitalization,Internal Valuation Team,1419,4.31,House,28.0,1,8.0,13.0,2021
92,2022-04-29,407000,On-site Professional Valuation,Internal Valuation Team,1805,5.32,House,29.0,1,8.0,13.0,2022
92,2023-04-29,424000,On-site Professional Valuation,Internal Valuation Team,1461,4.13,House,30.0,1,8.0,13.0,2023
92,2024-04-28,447000,Comparative Market Analysis,RICS Registered Valuer,1991,5.34,House,31.0,1,8.0,13.0,2024
92,2025-04-28,477000,Income Capitalization,Walker-Norman Valuations,1910,4.8,House,32.0,1,8.0,13.0,2025
93,2020-04-29,332000,Comparative Market Analysis,RICS Registered Valuer,1585,5.73,Flat,29.0,3,9.0,16.0,2020
93,2021-04-29,350000,On-site Professional Valuation,Independent Surveyor,1335,4.58,Flat,30.0,3,9.0,16.0,2021
93,2022-04-29,371000,Cost Approach,RICS Registered Valuer,1714,5.55,Flat,31.0,3,9.0,16.0,2022
93,2023-04-29,388000,On-site Professional Valuation,RICS Registered Valuer,1386,4.29,Flat,32.0,3,9.0,16.0,2023
93,2024-04-28,407000,On-site Professional Valuation,Warren-Chandler Valuations,1543,4.55,Flat,33.0,3,9.0,16.0,2024
93,2025-04-28,437000,Automated Valuation Model,Nicholson Inc Valuations,2121,5.82,Flat,34.0,3,9.0,16.0,2025
94,2020-04-29,144000,Automated Valuation Model,Archer LLC Valuations,713,5.94,Flat,30.0,2,10.0,17.0,2020
94,2021-04-29,151000,Income Capitalization,Independent Surveyor,608,4.83,Flat,31.0,2,10.0,17.0,2021
94,2022-04-29,158000,Automated Valuation Model,RICS Registered Valuer,725,5.51,Flat,32.0,2,10.0,17.0,2022
94,2023-04-29,169000,Income Capitalization,Automated System,648,4.6,Flat,33.0,2,10.0,17.0,2023
94,2024-04-28,182000,Automated Valuation Model,Harrison and Sons Valuations,777,5.12,Flat,34.0,2,10.0,17.0,2024
94,2025-04-28,193000,Cost Approach,RICS Registered Valuer,768,4.78,Flat,35.0,2,10.0,17.0,2025
95,2020-04-29,368000,Automated Valuation Model,Independent Surveyor,1275,4.16,House,27.0,1,8.0,13.0,2020
95,2021-04-29,381000,Income Capitalization,Internal Valuation Team,1730,5.45,House,28.0,1,8.0,13.0,2021
95,2022-04-29,397000,On-site Professional Valuation,Internal Valuation Team,1769,5.35,House,29.0,1,8.0,13.0,2022
95,2023-04-29,427000,On-site Professional Valuation,Garner-Reid Valuations,1557,4.38,House,30.0,1,8.0,13.0,2023
95,2024-04-28,444000,Cost Approach,Independent Surveyor,1635,4.42,House,31.0,1,8.0,13.0,2024
95,2025-04-28,479000,Income Capitalization,Internal Valuation Team,1609,4.03,House,32.0,1,8.0,13.0,2025
96,2020-04-29,261000,Income Capitalization,Hodgson Inc Valuations,1198,5.51,Flat,24.0,3,4.0,8.0,2020
96,2021-04-29,278000,Income Capitalization,"Jackson, Webster and Smith Valuations",1110,4.79,Flat,25.0,3,4.0,8.0,2021
96,2022-04-29,291000,Automated Valuation Model,"Allan, Rahman and Rose Valuations",1107,4.57,Flat,26.0,3,4.0,8.0,2022
96,2023-04-29,309000,Cost Approach,"Evans, Walker and Bennett Valuations",1189,4.62,Flat,27.0,3,4.0,8.0,2023
96,2024-04-28,332000,Automated Valuation Model,Independent Surveyor,1365,4.93,Flat,28.0,3,4.0,8.0,2024
96,2025-04-28,357000,Automated Valuation Model,Internal Valuation Team,1411,4.74,Flat,29.0,3,4.0,8.0,2025
97,2020-04-29,231000,Income Capitalization,Internal Valuation Team,855,4.44,Flat,28.0,3,3.0,5.0,2020
97,2021-04-29,241000,On-site Professional Valuation,Automated System,1179,5.87,Flat,29.0,3,3.0,5.0,2021
97,2022-04-29,252000,Income Capitalization,Automated System,922,4.39,Flat,30.0,3,3.0,5.0,2022
97,2023-04-29,266000,On-site Professional Valuation,Independent Surveyor,996,4.49,Flat,31.0,3,3.0,5.0,2023
97,2024-04-28,278000,Automated Valuation Model,Automated System,1307,5.64,Flat,32.0,3,3.0,5.0,2024
97,2025-04-28,289000,Income Capitalization,RICS Registered Valuer,1346,5.59,Flat,33.0,3,3.0,5.0,2025
98,2020-04-29,572000,On-site Professional Valuation,Internal Valuation Team,2372,4.98,House,27.0,3,9.0,15.0,2020
98,2021-04-29,604000,Comparative Market Analysis,Internal Valuation Team,2858,5.68,House,28.0,3,9.0,15.0,2021
98,2022-04-29,645000,Income Capitalization,Internal Valuation Team,2593,4.82,House,29.0,3,9.0,15.0,2022
98,2023-04-29,688000,On-site Professional Valuation,Automated System,2304,4.02,House,30.0,3,9.0,15.0,2023
98,2024-04-28,721000,On-site Professional Valuation,Automated System,3146,5.24,House,31.0,3,9.0,15.0,2024
98,2025-04-28,766000,On-site Professional Valuation,Morton Ltd Valuations,2573,4.03,House,32.0,3,9.0,15.0,2025
99,2020-04-29,538000,Cost Approach,Smith-Robinson Valuations,1808,4.03,House,28.0,3,9.0,14.0,2020
99,2021-04-29,580000,Automated Valuation Model,RICS Registered Valuer,1950,4.03,House,29.0,3,9.0,14.0,2021
99,2022-04-29,601000,Income Capitalization,RICS Registered Valuer,2100,4.19,House,30.0,3,9.0,14.0,2022
99,2023-04-29,625000,Cost Approach,Independent Surveyor,2632,5.05,House,31.0,3,9.0,14.0,2023
99,2024-04-28,668000,Automated Valuation Model,Automated System,2315,4.16,House,32.0,3,9.0,14.0,2024
99,2025-04-28,707000,Income Capitalization,Independent Surveyor,3523,5.98,House,33.0,3,9.0,14.0,2025
100,2020-04-29,491000,Comparative Market Analysis,Internal Valuation Team,2331,5.7,House,29.0,4,5.0,10.0,2020
100,2021-04-29,516000,Automated Valuation Model,Internal Valuation Team,2044,4.75,House,30.0,4,5.0,10.0,2021
100,2022-04-29,548000,Comparative Market Analysis,Automated System,2469,5.41,House,31.0,4,5.0,10.0,2022
100,2023-04-29,587000,Cost Approach,Charlton Ltd Valuations,2588,5.29,House,32.0,4,5.0,10.0,2023
100,2024-04-28,633000,On-site Professional Valuation,Internal Valuation Team,3137,5.95,House,33.0,4,5.0,10.0,2024
100,2025-04-28,660000,On-site Professional Valuation,Automated System,3191,5.8,House,34.0,4,5.0,10.0,2025
101,2020-04-29,277000,Cost Approach,Green Inc Valuations,1350,5.85,Flat,30.0,3,6.0,11.0,2020
101,2021-04-29,293000,Cost Approach,Internal Valuation Team,993,4.07,Flat,31.0,3,6.0,11.0,2021
101,2022-04-29,316000,Automated Valuation Model,Internal Valuation Team,1363,5.17,Flat,32.0,3,6.0,11.0,2022
101,2023-04-29,330000,On-site Professional Valuation,Automated System,1410,5.13,Flat,33.0,3,6.0,11.0,2023
101,2024-04-28,351000,Automated Valuation Model,RICS Registered Valuer,1486,5.08,Flat,34.0,3,6.0,11.0,2024
101,2025-04-28,376000,Comparative Market Analysis,"Law, Jackson and Davies Valuations",1685,5.38,Flat,35.0,3,6.0,11.0,2025
102,2020-04-29,151000,Comparative Market Analysis,Automated System,590,4.69,Flat,30.0,2,10.0,17.0,2020
102,2021-04-29,157000,On-site Professional Valuation,Turner Ltd Valuations,543,4.15,Flat,31.0,2,10.0,17.0,2021
102,2022-04-29,170000,Cost Approach,Internal Valuation Team,679,4.79,Flat,32.0,2,10.0,17.0,2022
102,2023-04-29,180000,Automated Valuation Model,Automated System,835,5.57,Flat,33.0,2,10.0,17.0,2023
102,2024-04-28,187000,Automated Valuation Model,Automated System,796,5.11,Flat,34.0,2,10.0,17.0,2024
102,2025-04-28,195000,Automated Valuation Model,Internal Valuation Team,840,5.17,Flat,35.0,2,10.0,17.0,2025
103,2020-04-29,652000,Income Capitalization,Internal Valuation Team,2494,4.59,House,27.0,4,9.0,15.0,2020
103,2021-04-29,674000,Income Capitalization,Automated System,2420,4.31,House,28.0,4,9.0,15.0,2021
103,2022-04-29,705000,Comparative Market Analysis,Independent Surveyor,2475,4.21,House,29.0,4,9.0,15.0,2022
103,2023-04-29,742000,Comparative Market Analysis,RICS Registered Valuer,3415,5.52,House,30.0,4,9.0,15.0,2023
103,2024-04-28,767000,On-site Professional Valuation,Sharpe-Kemp Valuations,3108,4.86,House,31.0,4,9.0,15.0,2024
103,2025-04-28,810000,Comparative Market Analysis,Independent Surveyor,2839,4.21,House,32.0,4,9.0,15.0,2025
104,2020-04-29,182000,Cost Approach,Automated System,788,5.19,Flat,30.0,2,2.0,4.0,2020
104,2021-04-29,188000,Comparative Market Analysis,Cole-Webb Valuations,756,4.83,Flat,31.0,2,2.0,4.0,2021
104,2022-04-29,202000,On-site Professional Valuation,Saunders and Sons Valuations,1003,5.96,Flat,32.0,2,2.0,4.0,2022
104,2023-04-29,209000,Income Capitalization,Independent Surveyor,829,4.76,Flat,33.0,2,2.0,4.0,2023
104,2024-04-28,219000,Comparative Market Analysis,RICS Registered Valuer,910,4.99,Flat,34.0,2,2.0,4.0,2024
104,2025-04-28,230000,Automated Valuation Model,Internal Valuation Team,928,4.84,Flat,35.0,2,2.0,4.0,2025
105,2020-04-29,221000,Automated Valuation Model,"Elliott, Turner and Ford Valuations",1084,5.89,Flat,28.0,3,3.0,5.0,2020
105,2021-04-29,234000,Income Capitalization,Independent Surveyor,959,4.92,Flat,29.0,3,3.0,5.0,2021
105,2022-04-29,242000,On-site Professional Valuation,Automated System,966,4.79,Flat,30.0,3,3.0,5.0,2022
105,2023-04-29,259000,Cost Approach,Automated System,1006,4.66,Flat,31.0,3,3.0,5.0,2023
105,2024-04-28,277000,On-site Professional Valuation,RICS Registered Valuer,1320,5.72,Flat,32.0,3,3.0,5.0,2024
105,2025-04-28,289000,Income Capitalization,Automated System,1254,5.21,Flat,33.0,3,3.0,5.0,2025
106,2020-04-29,403000,Cost Approach,Independent Surveyor,1991,5.93,House,29.0,3,5.0,10.0,2020
106,2021-04-29,430000,On-site Professional Valuation,RICS Registered Valuer,1887,5.27,House,30.0,3,5.0,10.0,2021
106,2022-04-29,450000,Automated Valuation Model,Independent Surveyor,1710,4.56,House,31.0,3,5.0,10.0,2022
106,2023-04-29,466000,On-site Professional Valuation,"Williamson, Mason and Baker Valuations",1991,5.13,House,32.0,3,5.0,10.0,2023
106,2024-04-28,484000,Comparative Market Analysis,Automated System,2233,5.54,House,33.0,3,5.0,10.0,2024
106,2025-04-28,521000,Cost Approach,Internal Valuation Team,1919,4.42,House,34.0,3,5.0,10.0,2025
107,2020-04-29,326000,Automated Valuation Model,Automated System,1519,5.59,Flat,29.0,2,9.0,16.0,2020
107,2021-04-29,338000,Cost Approach,RICS Registered Valuer,1297,4.61,Flat,30.0,2,9.0,16.0,2021
107,2022-04-29,360000,Comparative Market Analysis,Automated System,1673,5.58,Flat,31.0,2,9.0,16.0,2022
107,2023-04-29,389000,Automated Valuation Model,"Knight, Taylor and Singh Valuations",1607,4.96,Flat,32.0,2,9.0,16.0,2023
107,2024-04-28,410000,Automated Valuation Model,Mason PLC Valuations,1996,5.84,Flat,33.0,2,9.0,16.0,2024
107,2025-04-28,424000,On-site Professional Valuation,"Lewis, Johnson and Allan Valuations",2098,5.94,Flat,34.0,2,9.0,16.0,2025
108,2020-04-29,298000,Income Capitalization,Independent Surveyor,1036,4.17,Flat,30.0,3,6.0,11.0,2020
108,2021-04-29,309000,On-site Professional Valuation,Automated System,1346,5.23,Flat,31.0,3,6.0,11.0,2021
108,2022-04-29,334000,Automated Valuation Model,Internal Valuation Team,1298,4.66,Flat,32.0,3,6.0,11.0,2022
108,2023-04-29,344000,On-site Professional Valuation,Moore-Kirk Valuations,1295,4.52,Flat,33.0,3,6.0,11.0,2023
108,2024-04-28,364000,Income Capitalization,Automated System,1631,5.38,Flat,34.0,3,6.0,11.0,2024
108,2025-04-28,381000,On-site Professional Valuation,Jones-Smith Valuations,1564,4.93,Flat,35.0,3,6.0,11.0,2025
109,2020-04-29,242000,Automated Valuation Model,Internal Valuation Team,1209,6.0,Flat,29.0,1,9.0,16.0,2020
109,2021-04-29,253000,Comparative Market Analysis,Internal Valuation Team,1231,5.84,Flat,30.0,1,9.0,16.0,2021
109,2022-04-29,271000,Cost Approach,Independent Surveyor,1233,5.46,Flat,31.0,1,9.0,16.0,2022
109,2023-04-29,284000,On-site Professional Valuation,Automated System,1318,5.57,Flat,32.0,1,9.0,16.0,2023
109,2024-04-28,297000,Automated Valuation Model,Independent Surveyor,1038,4.2,Flat,33.0,1,9.0,16.0,2024
109,2025-04-28,307000,Comparative Market Analysis,Internal Valuation Team,1046,4.09,Flat,34.0,1,9.0,16.0,2025
110,2020-04-29,327000,Income Capitalization,RICS Registered Valuer,1443,5.3,Flat,29.0,2,9.0,16.0,2020
110,2021-04-29,345000,Cost Approach,Hyde PLC Valuations,1467,5.1,Flat,30.0,2,9.0,16.0,2021
110,2022-04-29,363000,Automated Valuation Model,RICS Registered Valuer,1490,4.92,Flat,31.0,2,9.0,16.0,2022
110,2023-04-29,377000,Automated Valuation Model,Internal Valuation Team,1670,5.31,Flat,32.0,2,9.0,16.0,2023
110,2024-04-28,402000,Automated Valuation Model,Allan-Dawson Valuations,1932,5.77,Flat,33.0,2,9.0,16.0,2024
110,2025-04-28,423000,Income Capitalization,RICS Registered Valuer,1413,4.01,Flat,34.0,2,9.0,16.0,2025
111,2020-04-29,268000,Comparative Market Analysis,"Ali, Hamilton and Morgan Valuations",1208,5.41,Flat,24.0,4,4.0,8.0,2020
111,2021-04-29,277000,Income Capitalization,Independent Surveyor,1326,5.74,Flat,25.0,4,4.0,8.0,2021
111,2022-04-29,290000,Cost Approach,Automated System,1188,4.92,Flat,26.0,4,4.0,8.0,2022
111,2023-04-29,307000,On-site Professional Valuation,Automated System,1350,5.28,Flat,27.0,4,4.0,8.0,2023
111,2024-04-28,325000,Cost Approach,Independent Surveyor,1401,5.17,Flat,28.0,4,4.0,8.0,2024
111,2025-04-28,349000,Cost Approach,"Marshall, Morris and Newton Valuations",1522,5.23,Flat,29.0,4,4.0,8.0,2025
112,2020-04-29,202000,Cost Approach,Internal Valuation Team,900,5.34,Flat,30.0,1,5.0,9.0,2020
112,2021-04-29,210000,Cost Approach,RICS Registered Valuer,741,4.23,Flat,31.0,1,5.0,9.0,2021
112,2022-04-29,222000,Income Capitalization,Thomas Inc Valuations,895,4.84,Flat,32.0,1,5.0,9.0,2022
112,2023-04-29,233000,On-site Professional Valuation,RICS Registered Valuer,849,4.37,Flat,33.0,1,5.0,9.0,2023
112,2024-04-28,247000,Income Capitalization,RICS Registered Valuer,1025,4.98,Flat,34.0,1,5.0,9.0,2024
112,2025-04-28,258000,Comparative Market Analysis,Independent Surveyor,1054,4.9,Flat,35.0,1,5.0,9.0,2025
113,2020-04-29,177000,Income Capitalization,Automated System,733,4.97,Flat,27.0,2,1.0,3.0,2020
113,2021-04-29,191000,Automated Valuation Model,Automated System,798,5.01,Flat,28.0,2,1.0,3.0,2021
113,2022-04-29,203000,Automated Valuation Model,Automated System,817,4.83,Flat,29.0,2,1.0,3.0,2022
113,2023-04-29,211000,Income Capitalization,Independent Surveyor,902,5.13,Flat,30.0,2,1.0,3.0,2023
113,2024-04-28,218000,Cost Approach,RICS Registered Valuer,808,4.45,Flat,31.0,2,1.0,3.0,2024
113,2025-04-28,233000,Automated Valuation Model,Evans-Hall Valuations,996,5.13,Flat,32.0,2,1.0,3.0,2025
114,2020-04-29,281000,Cost Approach,Buckley-Pickering Valuations,1205,5.15,Flat,29.0,4,4.0,6.0,2020
114,2021-04-29,301000,Comparative Market Analysis,Automated System,1187,4.73,Flat,30.0,4,4.0,6.0,2021
114,2022-04-29,318000,Comparative Market Analysis,RICS Registered Valuer,1585,5.98,Flat,31.0,4,4.0,6.0,2022
114,2023-04-29,333000,Automated Valuation Model,Independent Surveyor,1665,6.0,Flat,32.0,4,4.0,6.0,2023
114,2024-04-28,348000,Automated Valuation Model,Internal Valuation Team,1634,5.63,Flat,33.0,4,4.0,6.0,2024
114,2025-04-28,372000,On-site Professional Valuation,Independent Surveyor,1387,4.47,Flat,34.0,4,4.0,6.0,2025
115,2020-04-29,326000,Automated Valuation Model,RICS Registered Valuer,1418,5.22,Flat,30.0,4,5.0,9.0,2020
115,2021-04-29,346000,Income Capitalization,Internal Valuation Team,1606,5.57,Flat,31.0,4,5.0,9.0,2021
115,2022-04-29,366000,On-site Professional Valuation,"Richardson, Williams and Francis Valuations",1545,5.06,Flat,32.0,4,5.0,9.0,2022
115,2023-04-29,380000,Cost Approach,Independent Surveyor,1887,5.96,Flat,33.0,4,5.0,9.0,2023
115,2024-04-28,402000,On-site Professional Valuation,Internal Valuation Team,1978,5.9,Flat,34.0,4,5.0,9.0,2024
115,2025-04-28,417000,Automated Valuation Model,Internal Valuation Team,1911,5.5,Flat,35.0,4,5.0,9.0,2025
116,2020-04-29,340000,Income Capitalization,RICS Registered Valuer,1625,5.73,House,29.0,1,5.0,10.0,2020
116,2021-04-29,354000,Income Capitalization,Automated System,1600,5.42,House,30.0,1,5.0,10.0,2021
116,2022-04-29,374000,Cost Approach,Automated System,1607,5.15,House,31.0,1,5.0,10.0,2022
116,2023-04-29,392000,Comparative Market Analysis,Automated System,1356,4.15,House,32.0,1,5.0,10.0,2023
116,2024-04-28,414000,Cost Approach,Automated System,1572,4.56,House,33.0,1,5.0,10.0,2024
116,2025-04-28,446000,Comparative Market Analysis,Internal Valuation Team,1730,4.65,House,34.0,1,5.0,10.0,2025
117,2020-04-29,226000,Cost Approach,Internal Valuation Team,926,4.92,Flat,30.0,2,4.0,7.0,2020
117,2021-04-29,242000,Automated Valuation Model,RICS Registered Valuer,967,4.8,Flat,31.0,2,4.0,7.0,2021
