inspectionid,propertyid,lastinspectiondate,inspector,outcome,notes,inspection_type,buildingregistrationdate,property_age_years,patchid,patchname,days_since_last_inspection,compliance_outcome,follow_up_required,backlog_flag,compliance_severity
494,114,2023-02-12,Inspector 3,Needs Attention,Inspection notes for property 114,Fire Safety,2017-01-01,8,6,South Patch 2,689,Fail,True,True,Low
495,114,2021-03-30,Inspector 4,Pass,Inspection notes for property 114,Gas Safety,2017-01-01,8,6,South Patch 2,1373,Pass,False,False,None
496,114,2021-03-20,Inspector 9,Pass,Inspection notes for property 114,Gas Safety,2017-01-01,8,6,South Patch 2,1383,Fail,True,True,Medium
497,114,2020-04-10,Inspector 3,Needs Attention,Inspection notes for property 114,Electrical,2017-01-01,8,6,South Patch 2,1727,Pass,False,False,None
498,114,2024-11-03,Inspector 6,Pass,Inspection notes for property 114,Fire Safety,2017-01-01,8,6,South Patch 2,59,Advisory,True,False,High
499,115,2021-01-16,Inspector 2,Pass,Inspection notes for property 115,Water Hygiene,1922-01-01,103,7,West Patch 1,1446,Pass,False,False,None
500,115,2020-05-15,Inspector 3,Needs Attention,Inspection notes for property 115,Water Hygiene,1922-01-01,103,7,West Patch 1,1692,Pass,False,False,None
501,115,2020-10-14,Inspector 6,Fail,Inspection notes for property 115,Electrical,1922-01-01,103,7,West Patch 1,1540,Advisory,True,False,Medium
502,115,2023-05-18,Inspector 8,Needs Attention,Inspection notes for property 115,Gas Safety,1922-01-01,103,7,West Patch 1,594,Advisory,True,False,Medium
503,115,2020-08-12,Inspector 5,Pass,Inspection notes for property 115,Gas Safety,1922-01-01,103,7,West Patch 1,1603,Advisory,True,False,High
504,115,2024-06-24,Inspector 3,Pass,Inspection notes for property 115,General HHSRS,1922-01-01,103,7,West Patch 1,191,Pass,False,False,None
505,116,2021-08-14,Inspector 5,Needs Attention,Inspection notes for property 116,Electrical,1945-01-01,80,4,East Patch 2,1236,Advisory,True,False,Low
506,116,2021-08-23,Inspector 4,Needs Attention,Inspection notes for property 116,Fire Safety,1945-01-01,80,4,East Patch 2,1227,Advisory,True,False,Medium
507,116,2023-10-14,Inspector 1,Fail,Inspection notes for property 116,Water Hygiene,1945-01-01,80,4,East Patch 2,445,Pass,False,False,None
508,116,2021-03-21,Inspector 8,Pass,Inspection notes for property 116,General HHSRS,1945-01-01,80,4,East Patch 2,1382,Advisory,True,False,High
509,116,2020-02-05,Inspector 10,Fail,Inspection notes for property 116,Water Hygiene,1945-01-01,80,4,East Patch 2,1792,Advisory,True,False,Medium
510,116,2021-08-06,Inspector 6,Pass,Inspection notes for property 116,Electrical,1945-01-01,80,4,East Patch 2,1244,Pass,False,False,None
511,117,2022-03-06,Inspector 3,Pass,Inspection notes for property 117,Electrical,1927-01-01,98,1,North Patch 1,1032,Pass,False,False,None
512,117,2023-10-23,Inspector 1,Fail,Inspection notes for property 117,Gas Safety,1927-01-01,98,1,North Patch 1,436,Pass,False,False,None
513,117,2023-07-26,Inspector 7,Pass,Inspection notes for property 117,Water Hygiene,1927-01-01,98,1,North Patch 1,525,Pass,False,False,None
514,117,2021-04-25,Inspector 4,Pass,Inspection notes for property 117,General HHSRS,1927-01-01,98,1,North Patch 1,1347,Pass,False,False,None
515,117,2024-01-02,Inspector 8,Needs Attention,Inspection notes for property 117,Fire Safety,1927-01-01,98,1,North Patch 1,365,Pass,False,False,None
516,118,2020-03-20,Inspector 8,Pass,Inspection notes for property 118,Fire Safety,1945-01-01,80,6,South Patch 2,1748,Pass,False,False,None
517,118,2022-10-22,Inspector 1,Needs Attention,Inspection notes for property 118,Gas Safety,1945-01-01,80,6,South Patch 2,802,Pass,False,False,None
518,118,2020-06-15,Inspector 7,Needs Attention,Inspection notes for property 118,General HHSRS,1945-01-01,80,6,South Patch 2,1661,Pass,False,False,None
519,118,2022-11-13,Inspector 10,Needs Attention,Inspection notes for property 118,Water Hygiene,1945-01-01,80,6,South Patch 2,780,Advisory,True,False,Medium
520,119,2022-01-26,Inspector 9,Needs Attention,Inspection notes for property 119,Fire Safety,1976-01-01,49,8,West Patch 2,1071,Fail,True,True,Medium
521,119,2020-08-31,Inspector 1,Needs Attention,Inspection notes for property 119,Electrical,1976-01-01,49,8,West Patch 2,1584,Pass,False,False,None
522,119,2022-07-19,Inspector 8,Pass,Inspection notes for property 119,Gas Safety,1976-01-01,49,8,West Patch 2,897,Fail,True,False,Medium
523,119,2022-03-03,Inspector 9,Fail,Inspection notes for property 119,Water Hygiene,1976-01-01,49,8,West Patch 2,1035,Pass,False,False,None
524,119,2024-09-11,Inspector 9,Fail,Inspection notes for property 119,General HHSRS,1976-01-01,49,8,West Patch 2,112,Pass,False,False,None
525,119,2020-10-14,Inspector 1,Pass,Inspection notes for property 119,General HHSRS,1976-01-01,49,8,West Patch 2,1540,Pass,False,False,None
526,120,2022-05-11,Inspector 5,Fail,Inspection notes for property 120,Gas Safety,1927-01-01,98,5,South Patch 1,966,Pass,False,False,None
527,120,2024-02-23,Inspector 7,Fail,Inspection notes for property 120,Gas Safety,1927-01-01,98,5,South Patch 1,313,Advisory,True,False,Medium
528,120,2024-09-10,Inspector 9,Pass,Inspection notes for property 120,Fire Safety,1927-01-01,98,5,South Patch 1,113,Advisory,True,False,Low
529,120,2020-04-06,Inspector 8,Pass,Inspection notes for property 120,Fire Safety,1927-01-01,98,5,South Patch 1,1731,Pass,False,False,None
530,120,2022-09-04,Inspector 2,Pass,Inspection notes for property 120,General HHSRS,1927-01-01,98,5,South Patch 1,850,Pass,False,False,None
531,121,2024-04-26,Inspector 7,Fail,Inspection notes for property 121,General HHSRS,2010-01-01,15,8,West Patch 2,250,Pass,False,False,None
532,121,2022-07-20,Inspector 1,Pass,Inspection notes for property 121,Water Hygiene,2010-01-01,15,8,West Patch 2,896,Pass,False,False,None
533,121,2021-08-10,Inspector 4,Fail,Inspection notes for property 121,Water Hygiene,2010-01-01,15,8,West Patch 2,1240,Pass,False,False,None
534,121,2023-04-09,Inspector 6,Needs Attention,Inspection notes for property 121,Electrical,2010-01-01,15,8,West Patch 2,633,Pass,False,False,None
535,121,2021-01-02,Inspector 3,Needs Attention,Inspection notes for property 121,General HHSRS,2010-01-01,15,8,West Patch 2,1460,Advisory,True,False,Low
536,121,2024-05-20,Inspector 2,Pass,Inspection notes for property 121,Water Hygiene,2010-01-01,15,8,West Patch 2,226,Fail,True,True,High
537,122,2021-10-07,Inspector 6,Pass,Inspection notes for property 122,General HHSRS,2001-01-01,24,5,South Patch 1,1182,Pass,False,False,None
538,122,2021-10-02,Inspector 7,Needs Attention,Inspection notes for property 122,Fire Safety,2001-01-01,24,5,South Patch 1,1187,Fail,True,False,Low
539,122,2021-08-24,Inspector 3,Fail,Inspection notes for property 122,Gas Safety,2001-01-01,24,5,South Patch 1,1226,Pass,False,False,None
540,122,2022-11-12,Inspector 1,Pass,Inspection notes for property 122,Fire Safety,2001-01-01,24,5,South Patch 1,781,Pass,False,False,None
541,122,2021-11-27,Inspector 3,Pass,Inspection notes for property 122,Water Hygiene,2001-01-01,24,5,South Patch 1,1131,Pass,False,False,None
542,123,2020-06-10,Inspector 1,Fail,Inspection notes for property 123,Electrical,2002-01-01,23,2,North Patch 2,1666,Pass,False,False,None
543,123,2023-06-05,Inspector 8,Fail,Inspection notes for property 123,Fire Safety,2002-01-01,23,2,North Patch 2,576,Fail,True,True,Low
544,123,2024-01-24,Inspector 2,Pass,Inspection notes for property 123,Electrical,2002-01-01,23,2,North Patch 2,343,Pass,False,False,None
545,124,2021-02-08,Inspector 5,Pass,Inspection notes for property 124,Electrical,1988-01-01,37,7,West Patch 1,1423,Pass,False,False,None
546,124,2022-04-15,Inspector 8,Needs Attention,Inspection notes for property 124,Gas Safety,1988-01-01,37,7,West Patch 1,992,Pass,False,False,None
547,125,2022-04-24,Inspector 4,Pass,Inspection notes for property 125,Fire Safety,1947-01-01,78,5,South Patch 1,983,Pass,False,False,None
548,125,2022-07-14,Inspector 7,Fail,Inspection notes for property 125,Electrical,1947-01-01,78,5,South Patch 1,902,Advisory,True,False,Low
549,125,2021-09-15,Inspector 10,Pass,Inspection notes for property 125,Gas Safety,1947-01-01,78,5,South Patch 1,1204,Pass,False,False,None
550,125,2022-04-01,Inspector 5,Needs Attention,Inspection notes for property 125,General HHSRS,1947-01-01,78,5,South Patch 1,1006,Pass,False,False,None
551,125,2024-10-20,Inspector 3,Pass,Inspection notes for property 125,Gas Safety,1947-01-01,78,5,South Patch 1,73,Pass,False,False,None
552,125,2021-01-06,Inspector 6,Pass,Inspection notes for property 125,General HHSRS,1947-01-01,78,5,South Patch 1,1456,Pass,False,False,None
553,126,2021-03-05,Inspector 10,Needs Attention,Inspection notes for property 126,Electrical,2010-01-01,15,8,West Patch 2,1398,Pass,False,False,None
554,126,2023-03-22,Inspector 2,Pass,Inspection notes for property 126,Electrical,2010-01-01,15,8,West Patch 2,651,Pass,False,False,None
555,127,2024-01-29,Inspector 3,Needs Attention,Inspection notes for property 127,General HHSRS,1974-01-01,51,2,North Patch 2,338,Pass,False,False,None
556,127,2021-08-26,Inspector 10,Needs Attention,Inspection notes for property 127,Gas Safety,1974-01-01,51,2,North Patch 2,1224,Advisory,True,False,Medium
557,127,2024-01-31,Inspector 8,Needs Attention,Inspection notes for property 127,Fire Safety,1974-01-01,51,2,North Patch 2,336,Advisory,True,False,Medium
558,127,2023-01-22,Inspector 1,Pass,Inspection notes for property 127,Fire Safety,1974-01-01,51,2,North Patch 2,710,Advisory,True,False,High
559,127,2023-08-04,Inspector 6,Fail,Inspection notes for property 127,General HHSRS,1974-01-01,51,2,North Patch 2,516,Pass,False,False,None
560,128,2020-07-05,Inspector 9,Pass,Inspection notes for property 128,Electrical,2017-01-01,8,1,North Patch 1,1641,Pass,False,False,None
561,128,2022-09-06,Inspector 3,Pass,Inspection notes for property 128,Electrical,2017-01-01,8,1,North Patch 1,848,Pass,False,False,None
562,128,2023-03-26,Inspector 9,Fail,Inspection notes for property 128,Fire Safety,2017-01-01,8,1,North Patch 1,647,Advisory,True,False,High
563,128,2021-05-03,Inspector 4,Needs Attention,Inspection notes for property 128,Fire Safety,2017-01-01,8,1,North Patch 1,1339,Pass,False,False,None
564,128,2024-06-19,Inspector 10,Needs Attention,Inspection notes for property 128,Fire Safety,2017-01-01,8,1,North Patch 1,196,Pass,False,False,None
565,129,2021-07-01,Inspector 10,Needs Attention,Inspection notes for property 129,Gas Safety,1976-01-01,49,4,East Patch 2,1280,Pass,False,False,None
566,129,2022-07-09,Inspector 10,Fail,Inspection notes for property 129,Electrical,1976-01-01,49,4,East Patch 2,907,Pass,False,False,None
567,129,2022-02-17,Inspector 10,Needs Attention,Inspection notes for property 129,Gas Safety,1976-01-01,49,4,East Patch 2,1049,Pass,False,False,None
568,129,2024-08-05,Inspector 10,Needs Attention,Inspection notes for property 129,Gas Safety,1976-01-01,49,4,East Patch 2,149,Pass,False,False,None
569,129,2022-01-03,Inspector 8,Fail,Inspection notes for property 129,Water Hygiene,1976-01-01,49,4,East Patch 2,1094,Advisory,True,False,High
570,130,2023-10-10,Inspector 5,Pass,Inspection notes for property 130,Gas Safety,1978-01-01,47,4,East Patch 2,449,Pass,False,False,None
571,130,2024-05-31,Inspector 1,Fail,Inspection notes for property 130,Gas Safety,1978-01-01,47,4,East Patch 2,215,Pass,False,False,None
572,130,2020-11-08,Inspector 2,Needs Attention,Inspection notes for property 130,General HHSRS,1978-01-01,47,4,East Patch 2,1515,Pass,False,False,None
573,130,2020-05-08,Inspector 10,Fail,Inspection notes for property 130,Gas Safety,1978-01-01,47,4,East Patch 2,1699,Pass,False,False,None
574,130,2024-10-27,Inspector 6,Fail,Inspection notes for property 130,Electrical,1978-01-01,47,4,East Patch 2,66,Pass,False,False,None
575,130,2020-07-23,Inspector 4,Pass,Inspection notes for property 130,General HHSRS,1978-01-01,47,4,East Patch 2,1623,Advisory,True,False,Medium
576,131,2021-03-17,Inspector 5,Fail,Inspection notes for property 131,Water Hygiene,1945-01-01,80,4,East Patch 2,1386,Pass,False,False,None
577,131,2023-09-05,Inspector 5,Needs Attention,Inspection notes for property 131,Fire Safety,1945-01-01,80,4,East Patch 2,484,Advisory,True,False,Low
578,131,2023-06-04,Inspector 1,Pass,Inspection notes for property 131,Water Hygiene,1945-01-01,80,4,East Patch 2,577,Pass,False,False,None
579,132,2023-01-03,Inspector 7,Needs Attention,Inspection notes for property 132,Gas Safety,1988-01-01,37,5,South Patch 1,729,Pass,False,False,None
580,132,2021-08-16,Inspector 1,Pass,Inspection notes for property 132,Fire Safety,1988-01-01,37,5,South Patch 1,1234,Advisory,True,False,Low
581,132,2023-03-24,Inspector 6,Needs Attention,Inspection notes for property 132,Gas Safety,1988-01-01,37,5,South Patch 1,649,Pass,False,False,None
582,132,2022-02-06,Inspector 1,Needs Attention,Inspection notes for property 132,Water Hygiene,1988-01-01,37,5,South Patch 1,1060,Pass,False,False,None
583,133,2024-03-16,Inspector 8,Needs Attention,Inspection notes for property 133,Gas Safety,2010-01-01,15,1,North Patch 1,291,Pass,False,False,None
584,133,2022-06-26,Inspector 7,Needs Attention,Inspection notes for property 133,Gas Safety,2010-01-01,15,1,North Patch 1,920,Pass,False,False,None
585,133,2020-05-24,Inspector 9,Fail,Inspection notes for property 133,Electrical,2010-01-01,15,1,North Patch 1,1683,Advisory,True,False,Medium
586,133,2021-05-01,Inspector 6,Needs Attention,Inspection notes for property 133,Fire Safety,2010-01-01,15,1,North Patch 1,1341,Pass,False,False,None
587,133,2024-12-21,Inspector 4,Needs Attention,Inspection notes for property 133,Fire Safety,2010-01-01,15,1,North Patch 1,11,Advisory,True,False,High
588,134,2020-05-08,Inspector 6,Pass,Inspection notes for property 134,Fire Safety,1922-01-01,103,5,South Patch 1,1699,Advisory,True,False,High
589,134,2023-04-07,Inspector 1,Fail,Inspection notes for property 134,Fire Safety,1922-01-01,103,5,South Patch 1,635,Pass,False,False,None
590,134,2021-07-25,Inspector 9,Pass,Inspection notes for property 134,Fire Safety,1922-01-01,103,5,South Patch 1,1256,Fail,True,True,High
591,134,2021-06-09,Inspector 7,Pass,Inspection notes for property 134,Fire Safety,1922-01-01,103,5,South Patch 1,1302,Pass,False,False,None
592,135,2020-03-25,Inspector 5,Needs Attention,Inspection notes for property 135,Electrical,1978-01-01,47,7,West Patch 1,1743,Fail,True,False,Medium
593,135,2021-05-02,Inspector 1,Fail,Inspection notes for property 135,Fire Safety,1978-01-01,47,7,West Patch 1,1340,Pass,False,False,None
594,136,2022-04-17,Inspector 4,Fail,Inspection notes for property 136,Gas Safety,1947-01-01,78,5,South Patch 1,990,Pass,False,False,None
595,136,2020-05-06,Inspector 5,Pass,Inspection notes for property 136,General HHSRS,1947-01-01,78,5,South Patch 1,1701,Pass,False,False,None
596,137,2024-05-02,Inspector 2,Fail,Inspection notes for property 137,Gas Safety,1974-01-01,51,1,North Patch 1,244,Pass,False,False,None
597,137,2020-09-19,Inspector 4,Pass,Inspection notes for property 137,Electrical,1974-01-01,51,1,North Patch 1,1565,Pass,False,False,None
598,137,2022-03-29,Inspector 1,Fail,Inspection notes for property 137,Fire Safety,1974-01-01,51,1,North Patch 1,1009,Advisory,True,False,High
599,137,2024-03-19,Inspector 4,Fail,Inspection notes for property 137,Fire Safety,1974-01-01,51,1,North Patch 1,288,Pass,False,False,None
600,138,2023-04-05,Inspector 6,Pass,Inspection notes for property 138,Fire Safety,1947-01-01,78,1,North Patch 1,637,Pass,False,False,None
601,138,2020-06-20,Inspector 9,Needs Attention,Inspection notes for property 138,Fire Safety,1947-01-01,78,1,North Patch 1,1656,Advisory,True,False,High
602,138,2023-05-12,Inspector 1,Fail,Inspection notes for property 138,Fire Safety,1947-01-01,78,1,North Patch 1,600,Pass,False,False,None
603,138,2021-01-28,Inspector 9,Pass,Inspection notes for property 138,Fire Safety,1947-01-01,78,1,North Patch 1,1434,Fail,True,True,Medium
604,138,2023-03-05,Inspector 1,Needs Attention,Inspection notes for property 138,Fire Safety,1947-01-01,78,1,North Patch 1,668,Advisory,True,False,Low
605,138,2020-10-03,Inspector 2,Fail,Inspection notes for property 138,Fire Safety,1947-01-01,78,1,North Patch 1,1551,Fail,True,False,Medium
606,139,2024-01-07,Inspector 9,Needs Attention,Inspection notes for property 139,Gas Safety,2001-01-01,24,7,West Patch 1,360,Advisory,True,False,Medium
607,139,2023-04-30,Inspector 1,Needs Attention,Inspection notes for property 139,Fire Safety,2001-01-01,24,7,West Patch 1,612,Pass,False,False,None
608,140,2023-12-04,Inspector 4,Pass,Inspection notes for property 140,Gas Safety,1959-01-01,66,1,North Patch 1,394,Pass,False,False,None
609,140,2023-12-07,Inspector 9,Fail,Inspection notes for property 140,Gas Safety,1959-01-01,66,1,North Patch 1,391,Advisory,True,False,Medium
610,140,2021-04-25,Inspector 2,Fail,Inspection notes for property 140,Electrical,1959-01-01,66,1,North Patch 1,1347,Pass,False,False,None
611,141,2023-07-18,Inspector 2,Pass,Inspection notes for property 141,Fire Safety,2001-01-01,24,8,West Patch 2,533,Pass,False,False,None
612,141,2021-09-12,Inspector 9,Pass,Inspection notes for property 141,General HHSRS,2001-01-01,24,8,West Patch 2,1207,Pass,False,False,None
613,141,2022-01-13,Inspector 6,Needs Attention,Inspection notes for property 141,Electrical,2001-01-01,24,8,West Patch 2,1084,Fail,True,True,Medium
614,142,2024-04-14,Inspector 5,Needs Attention,Inspection notes for property 142,Fire Safety,2001-01-01,24,1,North Patch 1,262,Pass,False,False,None
615,142,2024-02-13,Inspector 2,Fail,Inspection notes for property 142,General HHSRS,2001-01-01,24,1,North Patch 1,323,Pass,False,False,None
616,142,2022-01-17,Inspector 8,Pass,Inspection notes for property 142,Water Hygiene,2001-01-01,24,1,North Patch 1,1080,Pass,False,False,None
617,142,2024-11-30,Inspector 8,Needs Attention,Inspection notes for property 142,Fire Safety,2001-01-01,24,1,North Patch 1,32,Pass,False,False,None
618,143,2022-05-12,Inspector 1,Pass,Inspection notes for property 143,Fire Safety,1945-01-01,80,4,East Patch 2,965,Pass,False,False,None
619,143,2022-11-18,Inspector 3,Needs Attention,Inspection notes for property 143,General HHSRS,1945-01-01,80,4,East Patch 2,775,Pass,False,False,None
620,144,2021-07-19,Inspector 8,Needs Attention,Inspection notes for property 144,Electrical,1922-01-01,103,8,West Patch 2,1262,Pass,False,False,None
621,144,2023-04-30,Inspector 6,Pass,Inspection notes for property 144,Fire Safety,1922-01-01,103,8,West Patch 2,612,Advisory,True,False,Low
622,144,2020-10-28,Inspector 9,Pass,Inspection notes for property 144,Fire Safety,1922-01-01,103,8,West Patch 2,1526,Pass,False,False,None
623,144,2021-11-23,Inspector 3,Pass,Inspection notes for property 144,Gas Safety,1922-01-01,103,8,West Patch 2,1135,Advisory,True,False,High
624,144,2022-06-14,Inspector 2,Fail,Inspection notes for property 144,Gas Safety,1922-01-01,103,8,West Patch 2,932,Advisory,True,False,Medium
625,144,2021-03-29,Inspector 8,Fail,Inspection notes for property 144,Electrical,1922-01-01,103,8,West Patch 2,1374,Pass,False,False,None
626,145,2024-09-04,Inspector 10,Fail,Inspection notes for property 145,Gas Safety,1927-01-01,98,8,West Patch 2,119,Pass,False,False,None
627,145,2022-11-18,Inspector 3,Needs Attention,Inspection notes for property 145,Gas Safety,1927-01-01,98,8,West Patch 2,775,Pass,False,False,None
628,145,2023-03-24,Inspector 6,Fail,Inspection notes for property 145,Electrical,1927-01-01,98,8,West Patch 2,649,Advisory,True,False,Low
629,146,2024-09-17,Inspector 8,Pass,Inspection notes for property 146,Fire Safety,1988-01-01,37,7,West Patch 1,106,Pass,False,False,None
630,146,2022-05-24,Inspector 8,Pass,Inspection notes for property 146,Fire Safety,1988-01-01,37,7,West Patch 1,953,Pass,False,False,None
631,147,2021-09-09,Inspector 10,Pass,Inspection notes for property 147,Electrical,1968-01-01,57,3,East Patch 1,1210,Pass,False,False,None
632,147,2024-02-07,Inspector 7,Needs Attention,Inspection notes for property 147,General HHSRS,1968-01-01,57,3,East Patch 1,329,Pass,False,False,None
633,147,2023-02-04,Inspector 9,Needs Attention,Inspection notes for property 147,Gas Safety,1968-01-01,57,3,East Patch 1,697,Pass,False,False,None
634,147,2020-08-20,Inspector 5,Needs Attention,Inspection notes for property 147,Gas Safety,1968-01-01,57,3,East Patch 1,1595,Pass,False,False,None
635,148,2021-07-10,Inspector 7,Pass,Inspection notes for property 148,Fire Safety,1974-01-01,51,3,East Patch 1,1271,Advisory,True,False,High
636,148,2023-09-17,Inspector 9,Pass,Inspection notes for property 148,Gas Safety,1974-01-01,51,3,East Patch 1,472,Pass,False,False,None
637,148,2022-04-12,Inspector 2,Fail,Inspection notes for property 148,Gas Safety,1974-01-01,51,3,East Patch 1,995,Pass,False,False,None
638,148,2020-07-07,Inspector 10,Fail,Inspection notes for property 148,Fire Safety,1974-01-01,51,3,East Patch 1,1639,Pass,False,False,None
639,148,2021-11-24,Inspector 6,Needs Attention,Inspection notes for property 148,Fire Safety,1974-01-01,51,3,East Patch 1,1134,Advisory,True,False,High
640,149,2024-09-02,Inspector 2,Needs Attention,Inspection notes for property 149,Gas Safety,1988-01-01,37,1,North Patch 1,121,Pass,False,False,None
641,149,2024-08-06,Inspector 10,Needs Attention,Inspection notes for property 149,Fire Safety,1988-01-01,37,1,North Patch 1,148,Advisory,True,False,High
642,149,2023-03-04,Inspector 9,Pass,Inspection notes for property 149,Gas Safety,1988-01-01,37,1,North Patch 1,669,Pass,False,False,None
643,150,2023-09-05,Inspector 7,Pass,Inspection notes for property 150,Fire Safety,2017-01-01,8,8,West Patch 2,484,Pass,False,False,None
644,150,2024-06-20,Inspector 10,Fail,Inspection notes for property 150,Gas Safety,2017-01-01,8,8,West Patch 2,195,Pass,False,False,None
645,150,2022-04-22,Inspector 1,Pass,Inspection notes for property 150,Fire Safety,2017-01-01,8,8,West Patch 2,985,Pass,False,False,None
646,151,2021-10-27,Inspector 1,Pass,Inspection notes for property 151,General HHSRS,2010-01-01,15,3,East Patch 1,1162,Pass,False,False,None
647,151,2024-03-29,Inspector 8,Needs Attention,Inspection notes for property 151,Electrical,2010-01-01,15,3,East Patch 1,278,Pass,False,False,None
648,151,2022-11-22,Inspector 10,Needs Attention,Inspection notes for property 151,Electrical,2010-01-01,15,3,East Patch 1,771,Advisory,True,False,Medium
649,152,2023-04-12,Inspector 6,Fail,Inspection notes for property 152,General HHSRS,1945-01-01,80,3,East Patch 1,630,Pass,False,False,None
650,152,2020-08-16,Inspector 5,Fail,Inspection notes for property 152,Gas Safety,1945-01-01,80,3,East Patch 1,1599,Pass,False,False,None
651,152,2023-02-23,Inspector 2,Needs Attention,Inspection notes for property 152,Fire Safety,1945-01-01,80,3,East Patch 1,678,Pass,False,False,None
652,153,2022-03-20,Inspector 7,Pass,Inspection notes for property 153,Gas Safety,1978-01-01,47,1,North Patch 1,1018,Pass,False,False,None
653,153,2024-09-23,Inspector 6,Needs Attention,Inspection notes for property 153,Electrical,1978-01-01,47,1,North Patch 1,100,Pass,False,False,None
654,153,2025-01-27,Inspector 9,Fail,Inspection notes for property 153,Electrical,1978-01-01,47,1,North Patch 1,-26,Pass,False,False,None
655,153,2020-01-04,Inspector 5,Pass,Inspection notes for property 153,Gas Safety,1978-01-01,47,1,North Patch 1,1824,Pass,False,False,None
656,153,2022-08-28,Inspector 10,Fail,Inspection notes for property 153,Fire Safety,1978-01-01,47,1,North Patch 1,857,Pass,False,False,None
657,153,2023-04-18,Inspector 7,Fail,Inspection notes for property 153,Fire Safety,1978-01-01,47,1,North Patch 1,624,Pass,False,False,None
658,154,2022-08-01,Inspector 4,Needs Attention,Inspection notes for property 154,Gas Safety,2002-01-01,23,3,East Patch 1,884,Pass,False,False,None
659,154,2022-01-06,Inspector 3,Pass,Inspection notes for property 154,Electrical,2002-01-01,23,3,East Patch 1,1091,Pass,False,False,None
660,154,2022-03-12,Inspector 6,Fail,Inspection notes for property 154,Electrical,2002-01-01,23,3,East Patch 1,1026,Pass,False,False,None
661,154,2023-06-18,Inspector 3,Pass,Inspection notes for property 154,Gas Safety,2002-01-01,23,3,East Patch 1,563,Fail,True,False,Medium
662,154,2024-04-09,Inspector 1,Pass,Inspection notes for property 154,Water Hygiene,2002-01-01,23,3,East Patch 1,267,Pass,False,False,None
663,155,2021-05-22,Inspector 7,Pass,Inspection notes for property 155,Electrical,1968-01-01,57,5,South Patch 1,1320,Pass,False,False,None
664,155,2024-04-22,Inspector 7,Fail,Inspection notes for property 155,Fire Safety,1968-01-01,57,5,South Patch 1,254,Pass,False,False,None
665,155,2021-09-09,Inspector 7,Needs Attention,Inspection notes for property 155,Fire Safety,1968-01-01,57,5,South Patch 1,1210,Advisory,True,False,High
666,155,2022-07-13,Inspector 9,Fail,Inspection notes for property 155,Fire Safety,1968-01-01,57,5,South Patch 1,903,Advisory,True,False,High
667,155,2020-06-24,Inspector 8,Fail,Inspection notes for property 155,Fire Safety,1968-01-01,57,5,South Patch 1,1652,Pass,False,False,None
668,156,2024-01-14,Inspector 7,Needs Attention,Inspection notes for property 156,Fire Safety,2010-01-01,15,2,North Patch 2,353,Fail,True,True,High
669,156,2021-02-11,Inspector 8,Needs Attention,Inspection notes for property 156,Fire Safety,2010-01-01,15,2,North Patch 2,1420,Pass,False,False,None
670,156,2021-01-31,Inspector 9,Fail,Inspection notes for property 156,Fire Safety,2010-01-01,15,2,North Patch 2,1431,Pass,False,False,None
671,157,2021-05-11,Inspector 6,Pass,Inspection notes for property 157,Fire Safety,1988-01-01,37,7,West Patch 1,1331,Advisory,True,False,High
672,157,2021-11-22,Inspector 8,Needs Attention,Inspection notes for property 157,General HHSRS,1988-01-01,37,7,West Patch 1,1136,Advisory,True,False,High
673,157,2024-11-06,Inspector 10,Fail,Inspection notes for property 157,Fire Safety,1988-01-01,37,7,West Patch 1,56,Pass,False,False,None
674,157,2024-08-18,Inspector 3,Needs Attention,Inspection notes for property 157,Gas Safety,1988-01-01,37,7,West Patch 1,136,Pass,False,False,None
675,157,2022-02-15,Inspector 5,Fail,Inspection notes for property 157,Gas Safety,1988-01-01,37,7,West Patch 1,1051,Pass,False,False,None
676,157,2024-08-21,Inspector 9,Needs Attention,Inspection notes for property 157,Water Hygiene,1988-01-01,37,7,West Patch 1,133,Pass,False,False,None
677,158,2022-06-06,Inspector 2,Needs Attention,Inspection notes for property 158,Fire Safety,1927-01-01,98,2,North Patch 2,940,Advisory,True,False,High
678,158,2022-01-20,Inspector 10,Fail,Inspection notes for property 158,Gas Safety,1927-01-01,98,2,North Patch 2,1077,Pass,False,False,None
679,158,2024-12-10,Inspector 6,Needs Attention,Inspection notes for property 158,Water Hygiene,1927-01-01,98,2,North Patch 2,22,Pass,False,False,None
680,159,2022-07-14,Inspector 9,Fail,Inspection notes for property 159,General HHSRS,1922-01-01,103,1,North Patch 1,902,Pass,False,False,None
681,159,2020-12-18,Inspector 6,Fail,Inspection notes for property 159,General HHSRS,1922-01-01,103,1,North Patch 1,1475,Pass,False,False,None
682,159,2020-08-08,Inspector 5,Fail,Inspection notes for property 159,Fire Safety,1922-01-01,103,1,North Patch 1,1607,Pass,False,False,None
683,159,2024-11-17,Inspector 10,Needs Attention,Inspection notes for property 159,Fire Safety,1922-01-01,103,1,North Patch 1,45,Pass,False,False,None
684,159,2021-01-01,Inspector 10,Fail,Inspection notes for property 159,Electrical,1922-01-01,103,1,North Patch 1,1461,Fail,True,True,Low
685,160,2021-01-11,Inspector 3,Needs Attention,Inspection notes for property 160,Water Hygiene,1959-01-01,66,4,East Patch 2,1451,Advisory,True,False,High
686,160,2021-05-25,Inspector 5,Needs Attention,Inspection notes for property 160,Electrical,1959-01-01,66,4,East Patch 2,1317,Pass,False,False,None
